"Cui...dado...","Be...ware...","Ten... cuidado..."
"<NIER> colocou as mãos sobre os ouvidos e gritou para ser ouvido. ""Weiss! O que está acontecendo?""","<NIER> slapped his hands over his ears and screamed to be heard. ""Weiss! What's going on?""","<NIER> se colocó las manos en los oídos y gritó para que se le escuchara. ""¡Weiss, ¿qué está pasando?!""."
"<NIER> podia ver a boca de Weiss se mexendo, mas ele poderia muito bem estar gritando dentro de um tornado. <STOP> Os insetos gritavam. A floresta uivava. <STOP> E então, assim como os ouvidos de <NIER> pareciam prontos para pular de sua cabeça e fugirem para se esconder, o som diminuiu. <STOP> Hesitante, ele tirou a mão de seu ouvido esquerdo e ouviu as criaturas da floresta.","<NIER> could see Weiss's mouth moving, but he might as well have been shouting in a tornado. <STOP>The insects screamed. The forest howled. <STOP>And then, just as <NIER>'s ears seemed ready to tear from his head and go running for cover, the sound diminished. <STOP>Hesitantly, he removed the hand from his left ear and listened to the creatures of the woods.","<NIER> veía que la boca de Weiss se movía, pero era posible que él también estuviera gritando en medio de ese estruendo. <STOP>Los insectos chillaban, el bosque aullaba. <STOP>Entonces, cuando los oídos de <NIER> parecían dispuestos a abandonar su cabeza en busca de refugio, el ruido disminuyó. <STOP>Vacilante, retiró la mano izquierda del oído y escuchó a las criaturas del bosque."
"<FONT=ITALIC> Zree! Zree! Zree! Zree!</FONT>","<FONT=ITALIC>Zree! Zree! Zree! Zree!</FONT>","<FONT=ITALIC>¡Bzzz! ¡Bzzz! ¡Bzzz!</FONT>"
"<FONT=ITALIC>Shak-k-k-k! Shak-k-k-k! Shak-k-k-k!</FONT>","<FONT=ITALIC>Shak-k-k-k! Shak-k-k-k! Shak-k-k-k!</FONT>","<FONT=ITALIC>¡Criii! ¡Criii! ¡Criii!</FONT>"
"<FONT=ITALIC>Chk-chk-chee! Chk-chk-chee! Chk-chk-chee!</FONT>","<FONT=ITALIC>Chk-chk-chee! Chk-chk-chee! Chk-chk-chee!</FONT>","<FONT=ITALIC>¡Ch-chic-chiii! ¡Ch-chic-chiii! ¡Ch-chic-chiii!</FONT>"
"<FONT=ITALIC>Woo-woo-wooma! Woo-woo-wooma!</FONT>","<FONT=ITALIC>Woo-woo-wooma! Woo-woo-wooma!</FONT>","<FONT=ITALIC>¡Buuu-buuu-buan! ¡Buuu-buuu-buan! ¡Buuu-buuu-buan!</FONT>"
"<FONT=ITALIC>Shik shik seeek! Shik shik! Shik shik seeek!</FONT><PAGE>","<FONT=ITALIC>Shik shik seeek! Shik shik! Shik shik seeek!</FONT><PAGE>","<FONT=ITALIC>¡Criii-criii-criiic! ¡Criii-criii! ¡Criii-criii-criiic!</FONT><PAGE>"
"À medida que a sinfonia dos insetos diminuía alguns decibéis, <NIER> começava a detectar padrões no som. <FONT=ITALIC>""Isso não é aleatório""</FONT>, ele pensou. <FONT=ITALIC>""Não é apenas ruído branco. É... algo mais.""</FONT>","As the insect symphony dimmed another decibel, <NIER> began to detect patterns in the sound. <FONT=ITALIC>This isn't random,</FONT> he thought. <FONT=ITALIC>It's not just white noise. It's...something else.</FONT>","Conforme la sinfonía de los insectos disminuía otro decibelio, <NIER> empezó a detectar patrones de sonido. <FONT=ITALIC>Esto no es arbitrario,</FONT> pensó. <FONT=ITALIC>No es solo ruido blanco, es... algo más.</FONT>"
"Os insetos não estavam apenas chamando; eles estavam fazendo uma pergunta.","The insects weren't just calling out; they were asking a question.","Los insectos no estaban llamándose unos a otros, estaban preguntando algo."
"<FONT=ITALIC>Um com ele falta. Dois com ele é ideal. Três com ele é perigoso. O que é?</FONT>","<FONT=ITALIC>One with it is lacking. Two with it is ideal.<LF>Three with it is dangerous. What is it?</FONT>","<FONT=ITALIC>Para uno es insuficiente. Para dos es lo ideal.<LF>Para tres es peligroso. ¿De qué se trata?</FONT>"
"""Por minhas páginas! É um enigma?""","""By my pages! Is this a riddle?""","""¡Por todas mis páginas! ¿Un acertijo?""."
"""Acho que sim? Sei lá, parece meio forçado, mas talvez seja a chave para sair deste lugar.""","""I guess so? I mean, it feels sorta forced, but maybe it's the key to getting out of this place.""","""Eso parece. Quizá un poco forzado, pero puede que sea la clave para salir de aquí""."
"""Então deixo a resposta para você!""","""Then I leave it to you to answer!""","""¡Entonces, te dejo que respondas tú!""."
"<FONT=ITALIC>Apenas um não é suficiente. Dois é o ideal.<LF>Três é perigoso. O que é?</FONT>","<FONT=ITALIC>One with it is lacking. Two with it is ideal.<LF>Three with it is dangerous. What is it?</FONT>","<FONT=ITALIC>Para uno es insuficiente. Para dos es lo ideal.<LF>Para tres es peligroso. ¿De qué se trata?</FONT>"
"<LIST=1038>""A resposta é... um segredo"".</LIST><LF><LIST=1036>""A resposta é... uma gangorra""</LIST><LF><LIST=1037>""Como eu vou saber!?""</LIST>","<LIST=1038>""The answer is...a secret.""</LIST><LF><LIST=1036>""The answer is...a seesaw.""</LIST><LF><LIST=1037>""How should I know!?""</LIST>","<LIST=1038>""La respuesta es... un secreto"".</LIST><LF><LIST=1036>""La respuesta es... un balancín"".</LIST><LF><LIST=1037>""¡¿Cómo voy a saberlo?!"".</LIST>"
"""Algo que é ideal com duas pessoas, mas perigoso com três...""","""Something that's ideal with two people, but dangerous with three...""","""Algo que es ideal para dos personas y peligroso para tres...""."
"""Oh! É uma gangorra!""","""Oh! It's a seesaw!""","""¡Claro! ¡Es un balancín!""."
"A boca de Weiss ia se abrir mas, antes que ele pudesse dizer alguma coisa, o mundo mudou de repente.<PAGE>","Weiss's mouth flew open, but before he could say anything, the world suddenly shifted.<PAGE>","Weiss abrió la boca, pero antes de que pudiera pronunciar nada, el mundo cambió velozmente.<PAGE>"
"<FONT=ITALIC>Reen reen whaaa! Reen reeen whaaa!</FONT>","<FONT=ITALIC>Reen reen whaaa! Reen reeen whaaa!</FONT>","<FONT=ITALIC>¡Riii-riii-grrr! ¡Riii-riii-grrr!</FONT>"
"<FONT=ITALIC>Shik shik kee! Shik shik kee!</FONT>","<FONT=ITALIC>Shik shik kee! Shik shik kee!</FONT>","<FONT=ITALIC>¡Criii-criii-quiii! ¡Criii-criii-quiii!</FONT>"
"Quando <NIER> voltou a si, ele estava cercado pelo som dos insetos.","When <NIER> came to, he was once again surrounded by the sounds of insects.","Cuando <NIER> volvió en sí, el ruido de los insectos lo abrumó de nuevo."
"Os gritos dos insetos estavam formando palavras. Palavras que ele já tinha ouvido em algum lugar...","The cries of the insects were creating words. Words he had heard somewhere before...","Los chasquidos esbozaban palabras, palabras que había oído antes en algún lugar..."
"""Como eu vou saber!?""","""How should I know!?""","""¡¿Cómo voy a saberlo?!""."
"A boca de Weiss ia se abrir mas, antes que ele pudesse dizer algo, o mundo de repente mudou.<PAGE>","Weiss's mouth flew open, but before he could say anything, the world suddenly shifted.<PAGE>","Weiss abrió la boca, pero antes de que pudiera pronunciar nada, el mundo cambió velozmente.<PAGE>"
"<FONT=ITALIC>Reen reen whaaa! Reen reeen whaaa!</FONT>","<FONT=ITALIC>Reen reen whaaa! Reen reeen whaaa!</FONT>","<FONT=ITALIC>¡Riii-riii-grrr! ¡Riii-riii-grrr!</FONT>"
"<FONT=ITALIC>Shik shik kee! Shik shik kee!</FONT>","<FONT=ITALIC>Shik shik kee! Shik shik kee!</FONT>","<FONT=ITALIC>¡Criii-criii-quiii! ¡Criii-criii-quiii!</FONT>"
"Quando <NIER> acordou, ele estava mais uma vez cercado pelos sons dos insetos.","When <NIER> came to, he was once again surrounded by the sounds of insects.","Cuando <NIER> volvió en sí, el ruido de los insectos lo abrumó de nuevo."
"Os gritos dos insetos estavam formando palavras. Palavras que ele tinha ouvido antes em algum lugar...","The cries of the insects were creating words. Words he had heard somewhere before...","Los chasquidos esbozaban palabras, palabras que había oído antes en algún lugar..."
"Internamente furioso por Weiss ter deixado essa tarefa para ele, <NIER> suspirou e deu a única resposta que fazia sentido.","Inwardly furious that Weiss left the task to him, <NIER> sighed and gave the only answer that made sense.","<NIER>, furioso ante la responsabilidad que le había encomendado Weiss, suspiró y dio la única respuesta que tenía sentido."
"""É um segredo. <STOP>Er, certo?""","""It's a secret. <STOP>Er, right?""","""Es... un secreto. <STOP>¿V-verdad?""."
"O som dos insetos parou tão repentinamente quanto começou. A vegetação da floresta se abriu diante de <NIER> como uma onda ondulante, abrindo um novo caminho.","The sound of the insects stopped as suddenly as it began. The forest undergrowth parted before <NIER> like a rippling wave, opening a new path.","El zumbido de los insectos se detuvo tan súbitamente como se había iniciado. La vegetación a ras de suelo se separó ante <NIER> en forma de oleada, dando paso a un nuevo camino."
"""Esses artrópodes da floresta estão abrindo um caminho para nós!"" disse Weiss com alegria.","""These forest arthropods are making a road for us!"" said Weiss with glee.","""¡Los artrópodos del bosque nos están abriendo paso!"", dijo Weiss lleno de júbilo."
"Satisfeito por ter passado no teste, <NIER> seguiu em frente com vigor renovado.","Pleased at passing the test, <NIER> moved on with new intensity.","<NIER>, feliz por haber superado la prueba, avanzó con energías renovadas."
"O caminho ofereceu alívio ao corpo dele com a vegetação rasteira, mas deu ainda maior alegria à sua mente. Enquanto estivessem em um caminho, a jornada deles tinha um propósito.","The path offered his body relief from the undergrowth, but gave even greater cheer to his mind. As long as they were on a path, their journey had a purpose.","El camino suponía todo un alivio para su cuerpo, castigado por la maleza, pero incluso más para su mente. Siempre y cuando siguieran un camino, su viaje tendría un objetivo claro."
"""Acho que a floresta nos aceitou, né?"" disse <NIER> depois de um tempo.","""I guess the forest has accepted us, huh?"" said <NIER> after a bit.","""Parece que el bosque nos ha aceptado, ¿no?"", dijo <NIER> pasados unos instantes."
"Weiss virou-se para encarar seu companheiro.","Weiss spun around to face his companion.","Weiss se giró para dirigirse a su acompañante."
"""Não confunda a vontade desta floresta com algum animal de estimação feliz que pode virar seu amigo de repente! Não temos ideia para onde este caminho leva.""","""Do not mistake the will of this forest for some happy pet you can suddenly befriend! We have no idea where this path leads.""","""¡No confundas la voluntad de este bosque por haberte hecho amiguito de unos insectos alegres! No tenemos ni idea de adónde va a parar esta senda""."
"Quando Weiss terminou de falar, a dupla virou uma esquina e se viu diante de uma límpida nascente na floresta. Sorrindo, <NIER> pegou uma pequena pedra e a jogou sobre a superfície da água.","As Weiss finished speaking, the pair turned a corner and found themselves facing a clear forest spring. Smiling, <NIER> picked up a small rock and sent it skipping across the surface of the water.","En cuanto Weiss terminó su discurso, ambos doblaron una esquina y se toparon con un manantial en medio de un claro. <NIER> hizo rebotar una piedra contra la superficie del agua con una sonrisa en los labios."
"""Santo Deus..."" disse Weiss.","""Good heavens..."" said Weiss.","""¡Por todos los dioses!..."", exclamó Weiss."
"A surpresa dele foi compreensível. Cada vez que a pedra atingia a superfície da água, uma nota musical tocava. <STOP>Quando a pedra finalmente parou de se mover e afundou até o fundo da nascente, as ondulações que ela deixou para trás se uniram para formar palavras.","His surprise was understandable. Each time the rock struck the surface of the water, a musical note rang out. <STOP>When the rock finally stopped moving and sank to the bottom of the spring, the ripples it left behind came together to form words.","Su tono de sorpresa estaba más que justificado, pues cada golpe de la piedra sobre la superficie del agua había generado una nota musical. <STOP>Cuando la piedra terminó frenándose y se hundió hasta el fondo del estanque, las ondas que había esbozado se unieron en forma de palabras."
"<FONT=ITALIC>Eu entro pela janela, mas não quebro nenhum vidro.<LF> Quando a noite chega, eu desapareço. O que sou eu?</FONT>","<FONT=ITALIC>I enter through the window, but break no glass.<LF>When night falls, I vanish. What am I?</FONT>","<FONT=ITALIC>Entro por las ventanas sin romper el cristal.<LF>Cuando cae la noche, desaparezco. ¿Qué soy?</FONT>"
"""Absurdamente fácil!"" bradou Weiss. ""Agora responda.""","""Absurdly easy!"" barked Weiss. ""Now answer it.""","""¡Qué fácil!"", rugió Weiss. ""Responde, venga""."
"<NIER> rangia os dentes e tentava não estrangular seu companheiro. <FONT=ITALIC>Ele está certo, afinal. Este é muito fácil.</FONT>","<NIER> grit his teeth and tried not to reach out and strangle his companion. <FONT=ITALIC>He's right, after all. This one is pretty easy.</FONT>","<NIER> apretó los dientes intentando no estrangular a su acompañante. <FONT=ITALIC>Odio admitirlo, pero tiene razón. Esta es muy fácil.</FONT>"
"<FONT=ITALIC>Eu entro pela janela, mas não quebro nenhum vidro.<LF> Quando a noite chega, eu desapareço. O que sou eu?</FONT><LF>","<FONT=ITALIC>I enter through the window, but break no glass.<LF>When night falls, I vanish. What am I?</FONT><LF>","<FONT=ITALIC>Entro por las ventanas sin romper el cristal.<LF>Cuando cae la noche, desaparezco. ¿Qué soy?</FONT><LF>"
"<LIST=1042>""Um pássaro!""</LIST><LF><LIST=1043>""Uma carta!""</LIST><LF><LIST=1044>""Luz do sol!""</LIST>","<LIST=1042>""A bird!""</LIST><LF><LIST=1043>""A letter!""</LIST><LF><LIST=1044>""Sunlight!""</LIST>","<LIST=1042>""¡Un pájaro!"".</LIST><LF><LIST=1043>""¡Una carta!"".</LIST><LF><LIST=1044>""¡La luz del sol!"".</LIST>"
"""Um pássaro!""","""A bird!""","""¡Un pájaro!""."
"Weiss emitiu um gemido baixo e caiu no chão com um baque.","Weiss emitted a low groan and fell to the ground with a thump.","Weiss gritó y se dejó caer de un golpetazo."
"""Até mesmo <FONT=ITALIC>sua</FONT> inteligência é extremamente rasa!""","""Surely even <FONT=ITALIC>your</FONT> foolishness is not so profound!""","""¡Ni siquiera <FONT=ITALIC>tu</FONT> estupidez puede llegar tan lejos!""."
"""Acho que você está certo"", disse <NIER>. ""Isso não faz sentido, não é?""","""I guess you're right,"" said <NIER>. ""That doesn't make sense, does it?""","""Supongo que tienes razón"", respondió <NIER>. ""Eso no tiene sentido alguno, ¿verdad?""."
"""Uma carta!""","""A letter!""","""¡Una carta!""."
"""De fato"", disse Weiss, ""Estou tão cansado de cartas criando pernas e fugindo do meu quarto no meio da noite.""","""Indeed,"" said Weiss, ""I am so very tired of letters sprouting legs and fleeing from my room in the dead of night.""","""Pues claro"", apuntó Weiss. ""Odio cuando a mis cartas les crecen patas y se escapan de mis aposentos en mitad de la noche...""."
"""Oh. Sim, isso não faz sentido, não é?""","""Oh. Yeah, that doesn't make sense, does it?""","""Ah, claro, eso no tiene sentido alguno, ¿verdad?""."
"Weiss se virou para <NIER> e balançou suas tristemente suas páginas.","Weiss turned from <NIER> and fluttered his pages sadly.","Weiss apartó la vista de <NIER> y aleteó sus páginas con tristeza."
"""Talvez <FONT=ITALIC>eu</FONT> devesse ter assumido esse desafio afinal!""","""Perhaps <FONT=ITALIC>I</FONT> should have taken on this challenge after all!""","""Tal vez debería haber sido <FONT=ITALIC>yo</FONT> quien aceptara el desafío""."
"""Luz do sol!""","""Sunlight!""","""¡La luz del sol!""."
"Um jato de água subitamente irrompeu da nascente. A luz do sol atravessava as árvores e refletia no jato, criando um arco-íris cintilante que abrangia todo o horizonte.","A plume of water suddenly burst from the spring. Sunlight filtered through the trees and reflected off the plume, creating a shimmering rainbow that spanned the entire horizon.","De pronto, una cortina de agua brotó del manantial. La luz del sol se coló entre los árboles y se reflejó en ella creando un arcoíris resplandeciente que abarcaba todo el horizonte."
"""Em toda minha vida"", disse Weiss suavemente, ""nunca vi tal coisa.""","""In all my years,"" said Weiss softly, ""I have never seen such a sight.""","""En todos estos años"", empezó Weiss con suavidad, ""nunca había visto una estampa semejante""."
"""Talvez eu tenha entendido mal as intenções deste lugar.""<PAGE>","""Perhaps I have misunderstood the intentions of this place.""<PAGE>","""Puede que haya malinterpretado las intenciones de este lugar"".<PAGE>"
"""Ei, olha!"" gritou <NIER>, acordando Weiss de seu transe. ""Tem uma casa ou algo do tipo ali.""","""Hey, look!"" cried <NIER>, awaking Weiss from his daze. ""There's a house or something over there.""","""¡Eh, mira!"", gritó <NIER> despertando a Weiss de su ensimismamiento. ""Parece que hay una casa ahí""."
"Ao olhar na direção da mão estendida de seu amigo, Weiss viu uma pequena casa aninhada entre as árvores.","Glancing in the direction of his friend's extended hand, Weiss saw a small cottage nestled among the trees.","Weiss giró la vista hacia donde apuntaba la mano de su amigo y vio una pequeña cabaña entre los árboles."
"""Isso é estranho, não é, Weiss? Quer dizer, quem construiria uma casa num lugar tão distante?""","""That's weird, isn't it, Weiss? I mean, who would build a house all the way out here?""","""¿No te parece raro, Weiss? En fin, ¿quién querría construir su hogar aquí en medio?""."
"<NIER> se aproximou e bateu na porta. Depois de um minuto batendo à porta, ela se abriu e um homem pequeno espiou por uma fresta. Seu corpo estava coberto do pescoço aos pés por uma grande capa preta, enquanto seu rosto era obscurecido pela neblina.<PAGE>","<NIER> walked over and pounded on the door. After a minute of solid banging, the door cracked open and a small man peered out. His body was cloaked from neck to toe in a large black cape, while his face was obscured by mist.<PAGE>","<NIER> se acercó y llamó a la puerta. Después de un minuto aporreándola sin parar, esta se abrió y un hombrecillo hizo acto de presencia. Llevaba una enorme capa negra con capucha que iba desde el cuello hasta los pies, y su rostro estaba oscurecido por la neblina.<PAGE>"
"""Um..."" começou <NIER>. Mas antes que pudesse prosseguir, o homem encapuzado levantou uma mão e começou a falar.","""Um..."" began <NIER>. But before he could get any further, the cloaked man held a hand up and began speaking.","""Eh..."", titubeó <NIER>. Pero antes de que pudiera continuar, el individuo de la capa alzó una mano y empezó a hablar."
"<FONT=ITALIC>Tenho quatro patas pela manhã e duas ao meio-dia, mas termino a noite com três. O que sou?</FONT>","<FONT=ITALIC>I have four legs in the morning and two at noon, but end the night with three. What am I?</FONT>","<FONT=ITALIC>Tengo cuatro patas por la mañana y dos al mediodía, pero cuando cae la noche, tengo tres. ¿Qué soy?</FONT>"
"<NIER> tentou perguntar ao homem encapuzado quem ele era e o que estava fazendo ali, mas ele simplesmente repetiu a pergunta.","<NIER> tried to ask the cloaked man who he was and what he was doing there, but he simply repeated the question. ","<NIER> trató de preguntarle al hombrecillo quién era y qué hacía ahí, pero este se limitó a repetir la pregunta. "
"""Se quisermos conversar com este homem"", disse Weiss, ""parece que devemos responder à sua charada.""","""If we wish to engage this man in conversation,"" said Weiss, ""it seems we must answer his riddle.""","""Creo que, si queremos hablar con este tipo, antes tenemos que resolver su acertijo"", dijo Weiss."
"""Sim, eu suponho"", disse <NIER>. ""Bem, pelo menos essa é fácil.""","""Yeah, I suppose,"" said <NIER>. ""Well, at least it's an easy one.""","""Sí, supongo. Al menos este es fácil"", respondió <NIER>."
"<FONT=ITALIC>Eu tenho quatro pernas de manhã e duas ao meio-dia, mas termino a noite com três. O que eu sou?</FONT><LF>","<FONT=ITALIC>I have four legs in the morning and two at noon, but end the night with three. What am I?</FONT><LF>","<FONT=ITALIC>Tengo cuatro patas por la mañana y dos al mediodía, pero cuando cae la noche, tengo tres. ¿Qué soy?</FONT><LF>"
"<LIST=1049>""Um homem.""</LIST><LF><LIST=1047>""Um demônio.""</LIST><LF><LIST=1048>""Um anjo.""</LIST>","<LIST=1049>""A man.""</LIST><LF><LIST=1047>""A demon.""</LIST><LF><LIST=1048>""An angel.""</LIST>","<LIST=1049>""Un humano"".</LIST><LF><LIST=1047>""Un demonio"".</LIST><LF><LIST=1048>""Un ángel"".</LIST>"
"""Um demônio.""","""A demon.""","""Un demonio""."
"Assim que as palavras foram pronunciadas, a floresta começou a girar em torno deles. <STOP> Folhas marrons caíam das árvores. Galhos murchavam e morriam. A grama alta e verde encolhia em cachos escuros de cinzas.","As soon as the words were spoken, the forest began to swirl around them. <STOP>Leaves browned and fell from trees. Branches withered and died. The tall green grass shriveled into dark curls of ash.","Tan pronto como pronunció esas palabras, el bosque empezó a dar vueltas a su alrededor. <STOP>Las hojas se volvieron marrones y cayeron de los árboles. Las ramas se marchitaron y perecieron. El alto follaje verde se convirtió en ceniza ondulada y oscura."
"De repente, um enorme demônio apareceu diante de <NIER> e soltou um tremendo rugido.","Suddenly, a massive demon appeared before <NIER> and unleashed a tremendous roar.","De repente, un inmenso demonio apareció ante <NIER> y soltó un aterrador alarido. "
"""Errado! Tente novamente!""","""Wrong! Now try again!""","""¡Error! Inténtalo de nuevo""."
"""Um anjo.""","""An angel.""","""Un ángel""."
"Conforme as palavras foram pronunciadas, <NIER> se viu coberto por uma nevasca de perfeitas penas brancas.","As the words were spoken, <NIER> found himself covered in a snow of perfect white feathers.","En cuanto enunció su respuesta, <NIER> se vio envuelto en un manto de plumas blancas inmaculadas."
"Um sentimento caloroso e gentil arrepiou sua espinha enquanto uma criatura de beleza inimaginável aparecia diante de seus olhos.","A warm, gentle feeling ran up his spine as a creature of unimaginable beauty shimmered into existence. ","Una sensación cálida y agradable le recorrió el cuerpo al ver aparecer a una criatura de belleza inconmensurable. "
"<NIER> não conseguiu segurar as lágrimas ao ouvir a voz da entidade.","<NIER> found himself unable to hold back tears as the being's voice rang out.","<NIER> fue incapaz de contener las lágrimas cuando aquel ser se pronunció."
"""Você está incorreto. Por favor, faça outra escolha.""","""You are incorrect. Please make another choice.""","""Tu respuesta no es correcta. Escoge de nuevo""."
"""Um homem.""","""A man.""","""Un humano""."
"A névoa se dissipou da figura encapuzada quando ele falou uma única palavra:","The mist dissolved from the cloaked figure as he spoke a single word:","La niebla de disipó alrededor de su silueta y el hombrecillo pronunció una sola palabra:"
"""Correto.""","""Correct.""","""Correcto""."
"Com isso, o homem jogou sua vestimenta de lado, revelando sua verdadeira identidade.","With that, the man flung his garment aside, revealing his true identity.","Acto seguido, el individuo se despojó del abrigo, dejando a la vista su rostro."
"""V-você é o prefeito!"" gritou <NIER>.","""Y-you're the mayor!"" cried <NIER>.","""¡E-el alcalde!"", gritó <NIER>."
"O pequeno homem acenou lentamente com a cabeça.","The small man slowly shook his head.","El hombrecillo negó con la cabeza."
"""Eu não sou o prefeito que você conhece. Agora escute minhas palavras: <STOP>Há muito tempo, vi uma versão de você que não era você mesmo.""","""I am not the mayor you know. Now listen to my words: <STOP>Long ago, I saw a version of you that was not yourself.""","""No soy el alcalde que crees conocer. Escúchame bien: <STOP>hace mucho, vi una versión tuya que nada tenía que ver contigo""."
"""Uh, desculpe? O que significa isso?""","""Uh, sorry? What's that mean?""","""¿Cómo? ¿Qué significa eso?""."
"""Vai fazer sentido com o tempo. No momento, apenas o parabenizo por quebrar o selo do Sonho da Morte. Agora você deve ir até a pessoa na entrada da floresta.""","""It will make sense in time. At present, I simply congratulate you on cracking the seal of the Deathdream. Now you must go to the person at the forest entrance.""","""Algún día cobrará sentido. De momento, me limitaré a daros la enhorabuena por romper el sello del sueño mortal. Ahora, reuníos con la persona que se encuentra en la entrada del bosque""."
"Com isso, o homem virou as costas e bateu a porta atrás dele. Enquanto <NIER> assistia, a névoa se levantava do chão e envolvia a cabana, fazendo com que ela sumisse.","With that, the man turned on his heel and slammed the door behind him. As <NIER> watched, mist seeped up from the ground and enveloped the cottage, erasing it from existence.","Dicho esto, el tipo dio media vuelta y cerró de un portazo. Mientras <NIER> observaba, la niebla se alzó desde la tierra y envolvió la cabaña hasta hacerla desaparecer."
"Quando <NIER> e Weiss voltaram para a entrada da floresta, encontraram o prefeito encostado em uma árvore.<STOP>Assim que ele avistou a dupla, pulou em seus pés e os cumprimentou.","When <NIER> and Weiss returned to the forest entrance, they found the mayor leaning against a tree. <STOP>As soon as he caught sight of the duo, he sprang to his feet and scrambled over to them.","Cuando <NIER> y Weiss regresaron a la entrada del bosque, se encontraron con el alcalde apoyado contra un árbol. <STOP>Cuando vio a la pareja, dio un brinco y se acercó corriendo hacia ellos."
"""Meu Deus do céu!"" ele gritou. ""Vocês conseguiram! Vocês realmente voltaram!""","""Good gravy!"" he cried. ""You made it! You actually made it back!""","""¡Por todos los dioses, lo habéis conseguido! ¡Habéis encontrado el camino de vuelta!"", exclamó."
"Sua mão esquerda agarrou a de <NIER> e a apertou com tanta força que parecia que poderia quebrá-la, enquanto sua mão direita segurou Weiss pela capa e o jogou pelo ar.<PAGE>","His left hand grasped <NIER>'s and pumped it so fiercely it threatened to dislodge from the socket, while his right seized Weiss by the cover and swung him through the air.<PAGE>","Con la mano izquierda tomó la de <NIER> y tiró de ella con tanta fuerza que por poco se la arranca de cuajo, mientras que con la derecha agarró el forro de Weiss y lo zarandeó por el aire.<PAGE>"
"""Gah! Pelos céus, pare de me sacudir, tolo! Nem sequer contamos se tivemos sucesso ou não!""","""Gah! By the heavens, stop shaking me, fool! We have not even told you if we were successful or not!""","""¡Aj! Cielo santo, ¡¿quieres dejar de zarandearme, chalado?! ¡Ni siquiera te hemos dicho si lo hemos conseguido o no!""."
"O prefeito sorriu e acenou com a cabeça.","The mayor smiled broadly and shook his head.","El alcalde esbozó una amplia sonrisa y agitó la cabeza."
"""Estou feliz que você esteja vivo! Eu nunca pensei que te veria novamente.""","""I'm just happy you're alive! I didn't think I'd ever see you again.""","""¡Es que estoy muy contento de veros con vida! Pensaba que no volvería a veros nunca""."
"<NIER> se afastou do aperto de mão ansioso do prefeito com um leve sorriso.","<NIER> withdrew himself from the mayor's eager handshake with a slight smile.","<NIER> consiguió desprenderse del alcalde y sonrió levemente."
"""Quebramos o selo do Sonho da Morte"", ele disse. ""Pelo menos acho que fizemos.""<PAGE>","""We broke the Deathdream's seal,"" he said. ""At least, I think we did.""<PAGE>","""Hemos roto el sello del sueño mortal o, al menos, eso creo"", le dijo.<PAGE>"
"O rosto do prefeito irradiava felicidade enquanto <NIER> lhe contava os detalhes.","The mayor's face beamed as <NIER> filled him in on the details. ","El rostro del alcalde se iluminó mientras <NIER> le contaba los pormenores. "
"Quando a história terminou, os três se deitaram na grama da floresta e dormiram.","When the tale was done, the three of them laid down on the forest ground and fell asleep.","Cuando el relato concluyó, los tres se tumbaron sobre el sotobosque y se durmieron."
"<NIER> inclinou sua cabeça.","<NIER> cocked his head.","<NIER> inclinó la cabeza hacia un lado."
"""Espere um segundo. Isso é loucura! Por que simplesmente iríamos deitar e dormir !?""","""Okay, hang on a second. This is crazy! Why would we just lay down and go to sleep!?""","""A ver, un momento. ¡Esto es una locura! ¡¿Por qué íbamos a tumbarnos sin más y echarnos a dormir?!""."
"""Pare de tagarelar e vá dormir, tolo! Lutar contra as regras deste lugar é pura futilidade.""","""Cease your endless prattle and go to sleep, fool! Fighting against the rules of this place is futility itself.""","""¡Ya vale de tanta cháchara y vete a dormir! Enfrentarse a las normas de este lugar es totalmente inútil""."
"<NIER> e o prefeito obedientemente se deitaram sobre a terra coberta de grama.","<NIER> and the mayor obediently reclined atop the grassy earth.","<NIER> y el alcalde se recostaron, obedientes, sobre el manto de hierba de la arboleda."
"""Você esqueceu?"" continuou Weiss. ""São palavras que controlam o Sonho da Morte, palavras que nos permitem nos mover de um lugar para outro. <STOP> Não importa o quão artificiais pareçam, as palavras são absolutas. Portanto, se as palavras nos disserem para dormir, dormiremos. <STOP> E uma vez que o fizermos, a história continuará.""","""Have you forgotten?"" continued Weiss. ""It is words that control the Deathdream, words that allow us to move from place to place. <STOP>No matter how unnatural they seem, the words are absolute. Therefore, if the words tell us to sleep, then sleep we shall. <STOP>And once we do, the story will continue.""","""¿Ya lo has olvidado?"", prosiguió Weiss, ""Sus palabras controlan el sueño mortal, palabras que nos permiten desplazarnos de un lugar a otro. <STOP>Da igual lo irracionales que parezcan, las palabras son categóricas. Así pues, si las palabras nos instan a dormir, nos vamos a dormir. <STOP>Cuando lo hagamos, la historia continuará""."
"Com isso, o trio sentiu seus olhos ficarem pesados, e suas respirações diminuíam.","With that, the trio found their eyes growing heavy, their breath slowing.","Dicho esto, los tres empezaron a sentir que les pesaban los párpados y su respiración se ralentizaba."
"""Esta é a primeira vez..."" começou o prefeito. ""A primeira vez que me sinto cansado... desde que me tornei prisioneiro... desse lugar...""","""This is the first time..."" began the mayor. ""The first time I have felt tired...since I was...imprisoned here...""","""Esta es la primera vez que me siento cansado desde... desde que me quedé... encerrado aquí..."", aseguró el alcalde."
