"Outra pobre vítima...","Yet another poor victim...","Otra pobre víctima..."
"""Eu não disse que você podia sair, aberração.""","""I didn't say you could leave, freak.""","""No te he dado permiso para marcharte, bicho raro""."
"As palavras de Dimo a corroeram como um verme corrói uma maçã. <STOP><FONT=ITALIC>Ele não pode me machucar</FONT>, ela mentiu para si mesma. <FONT=ITALIC>Seja forte. Seja corajosa. Ele não pode me machucar. Ele não pode me machucar. Ele não pode me m—</FONT>","Dimo's words chewed at her like a worm through an apple. <STOP><FONT=ITALIC>He can't hurt me,</FONT> she lied to herself. <FONT=ITALIC>Be strong. Be brave. He can't hurt me. He can't hurt me. He can't hurt—</FONT>","Las palabras de Dimo la carcomían como un gusano a una manzana. <STOP><FONT=ITALIC>No puede hacerme daño</FONT>, se engañaba a sí misma. <FONT=ITALIC>Tengo que ser fuerte, valiente. No puede hacerme daño. No puede hacerme daño...</FONT>"
"""Olha só! O monstrinho vai chorar! O que foi? Tá triste porque todo mundo te odeia e te quer morta?""","""Oh, look! The little freak is gonna cry! What's wrong? Are you sad that everyone hates you and wants you dead?""","""¡Oh, miradla! ¡La rarita va a ponerse a llorar! ¿Qué te pasa? ¿Te da pena que todo el mundo te odie y quiera verte muerta?""."
"Kainé rezou para que a chuva a inundasse e a levasse para longe de um mundo que parecia não ter lugar para ela.","Kainé prayed for the rain to flood down and carry her away from a world that seemed to have no place for her.","Kainé rezó para que la lluvia formase un riachuelo y la alejara de ese mundo en el que no parecía encajar."
"Mas se existissem deuses, eles escolheram ignorá-la. Enquanto Dimo se aproximava cada vez mais, as nuvens começavam a se dissipar e a chuva diminuía.","But if there were gods, they chose to ignore her. As Dimo crept ever closer, the clouds began to thin and the rain slowed.","Si había algún dios, sin duda la ignoró. Conforme Dimo se iba acercando, las nubes empezaron a disiparse y la lluvia a amainar."
"<FONT=ITALIC>Até o clima me odeia. Eu sou inútil. Um fracasso.</FONT><LF><STOP><FONT=ITALIC>Queria que a pedra de Dimo tivesse arrancado minha cabeça.</FONT>","<FONT=ITALIC>Even the weather hates me. I'm useless. A failure.</FONT><LF><STOP><FONT=ITALIC>I wish Dimo's rock had taken my head off.</FONT>","<FONT=ITALIC>Hasta el clima me odia. Soy una inútil, una fracasada.</FONT><LF><STOP><FONT=ITALIC>Ojalá la piedra de Dimo me hubiera arrancado la cabeza.</FONT>"
"Kainé não pôde encarar o olhar malicioso de Dimo; ela abaixou os olhos e encarou o chão cheio de lama. <STOP>O valentão se aproximou até ficar a centímetros de distância. Ela podia sentir o cheiro de carne velha em seu hálito.","Kainé couldn't meet Dimo's leering gaze; she lowered her eyes and stared at the muddy ground below. <STOP>The bully moved forward until he was inches away. She could smell the scent of old meat on his breath. ","Kainé no llegó a ver la mirada maliciosa de Dimo, se limitó a bajar la vista y a observar el suelo lleno de barro. <STOP>El matón avanzó hasta quedarse a solo centímetros de ella, tanto que llegaba a percibir el olor a carne que había comido el chico anteriormente. "
"O garoto agarrou o rosto de Kainé com dedos grossos e a levantou. Ela tentou se virar, mas ele forçou seu olhar de volta e pressionou o polegar contra sua pálpebra para abri-la.","The boy grabbed Kainé's face with thick fingers and yanked it upward. She tried to turn away, but he forced her gaze back and jammed his thumb against her eyelid to pry it open.","Entonces, agarró el rostro de Kainé con sus gruesos dedos y tiró de ella hacia arriba. La chica trató de mirar a otro lado, pero la forzó y le tiró del párpado para que pudiera verlo."
"""Me mostra.""","""Show me.""","""Mírame""."
"""...N-não.""","""...N-no.""","""N-no...""."
"""Você acabou de dizer não?""<STOP> Dimo sorriu maliciosamente. ""Você não diz não para mim. <FONT=ITALIC>Ninguém</FONT> diz não para mim.""<STOP>Sem tirar a atenção de Kainé, ele chamou seus companheiros: ""Bora lá, pessoal! Vamos dar à aberração o que ela merece!""","""Did you just say no?"" <STOP>Dimo grinned evilly. ""You don't say no to me. <FONT=ITALIC>No one</FONT> says no to me."" <STOP>Not even taking his attention from Kainé, he called to his cohorts, ""Come on, guys! Let's give the freak what she deserves!""","""¿Acabas de decirme que no?"". <STOP>Dimo sonrió con maldad. ""Nadie me lleva la contraria"". ""<FONT=ITALIC>Nadie</FONT> me dice que no"". <STOP>Entonces, y sin prestar atención a Kainé, llamó a sus compinches. ""¡Venid, chicos! ¡Vamos a darle a este monstruito lo que se merece!""."
"Logo que Dimo terminou, chutes e golpes começaram a acertar Kainé.","As soon as Dimo finished, kicks and blows began to rain down upon Kainé. ","Tras las palabras de Dimo, una sucesión de puñetazos y patadas golpearon a Kainé. "
"Dimo parou, ainda sorrindo, enquanto Kainé se encolhia e tentava fazer a dor parar.","Dimo paused, still grinning, as Kainé curled into a ball and tried to make the pain stop.","Él se detuvo, todavía sonriente, mientras Kainé se retorcía tratando de evitar el dolor."
"""Não tô te entendendo, aberração. Por que cê tá agindo como uma garota, hein? Todo mundo sabe o que você realmente é!""","""I don't get you, freak. Whatcha acting like a girl for, huh? Everyone knows what you really are!""","""No te entiendo, bicho raro. Por qué actúas como una chica, ¿eh? ¡Todo el mundo sabe lo que eres de verdad!""."
"Kainé ignorou a pergunta escolhendo, em vez disso, encarar o cata-vento. Ele continuava apontando para leste, como se estivesse supremamente confiante sobre o futuro que havia escolhido para ela.","Kainé ignored the question, choosing instead to stare at the weather vane. It continued to point east, as if supremely confident about the future it had chosen for her.","Kainé ignoró la pregunta y prefirió fijar la vista en la veleta. Seguía apuntando hacia el este, como reafirmando el futuro que había escogido para ella."
"<FONT=ITALIC>Ir pra casa?</FONT> <STOP><FONT=ITALIC>Sim, é uma piada engraçada pra alguém com pais mortos e sem uma casa para ir.</FONT>","<FONT=ITALIC>Go home?</FONT> <STOP><FONT=ITALIC>Yeah, that's a funny joke for someone with dead parents and no home to go to.</FONT>","<FONT=ITALIC>¿Quieres volver a casa?</FONT> <STOP><FONT=ITALIC>Ja. Muy gracioso para alguien cuyos padres murieron y que no tiene hogar al que ir.</FONT>"
"""Aberração!"" cantavam as crianças. ""Aberração, aberração, aberração!""","""Freak!"" chanted the children. ""Freak, freak, freak!""","""¡Monstruo!"", corearon los niños. ""¡Monstruo! ¡Monstruo! ¡Monstruo!""."
"Kainé fechou os olhos e ficou ouvindo a chuva, esperando a dor começar de novo. <STOP>Enquanto os punhos das crianças da vila se fechavam ao seu redor, ela ela se concentrava no som da chuva, fazendo daquele som o seu mundo inteiro.","Kainé closed her eyes and listened to the rain, waiting for the pain to start again. <STOP>As the clutching hands of the village children closed around her, she bent her mind to the sound of the rain, letting it become her world entire.","Kainé cerró los ojos y se centró en la lluvia, esperando a que el dolor comenzara otra vez. <STOP>Cuando las manos de los niños de la aldea se aferraron a ella de nuevo, se obligó a pensar en el sonido de la lluvia, llegando a convertirla en lo único que importaba de su mundo."
"A chuva caía...","The rain fell...","La lluvia siguió cayendo..."
"Mas a dor nunca veio.","But the pain never came.","pero el dolor no volvió a aparecer."
"E foi quando o riso dos seus torturadores se transformou em gritos aterrorizados que ela ousou abrir um único olho coberto de sangue.","Only when the laughter of her tormenters turned to terrified cries did she dare open a single blood-caked eye.","Entonces, las risas de los matones se convirtieron en alaridos de terror, solo entonces se atrevió a abrir uno de los ojos cubiertos de sangre."
"Kainé ficou chocada ao ver Dimo estatelado no chão, com a mão na cabeça e gritando de dor. Ela podia ver sangue jorrando dos espaços entre seus dedos gordos e contorcidos. ","Kainé was shocked to see Dimo sprawled on the ground, holding his head and screaming in pain. She could see blood welling from spaces between his fat, twisted fingers. ","Para sorpresa de Kainé, Dimo estaba tirado en el suelo agarrándose la cabeza y chillando de dolor. La sangre brotaba de entre sus dedos gordos y retorcidos. "
"<FONT=ITALIC>Oh, meu Deus. Ele tá chorando. Ele realmente tá</FONT> chorando!","<FONT=ITALIC>Oh my god. He's crying. He's actually</FONT> crying!","<FONT=ITALIC>Madre mía, está llorando. ¡Está llorando</FONT> de verdad!"
"Sem uma liderança, as outras crianças ficam se olhando, esperando que alguém assumisse o controle. <STOP>Já que nenhum salvador surgiu, eles começaram a se afastar de mandeira bem desconfortável de Kainé.","Deprived of their leader, the other children glanced back and forth between themselves, as if waiting for someone to step forward and take charge. <STOP>When no savior emerged, they began an uneasy shuffle away from Kainé. ","Ya sin su líder, los demás críos se miraron entre sí, como esperando a que alguien diera un paso al frente y tomara el relevo. <STOP>Sin ningún salvador emergente, se alejaron cautelosamente de Kainé. "
"Mas a jovem era a menor de suas preocupações. Em vez disso, sua atenção estava concentrada na senhorinha idosa parada a alguns metros de distância. <STOP>Depois de lutar por um momento para respirar, ela finalmente falou com uma voz cheia de raiva.","But the young girl was the least of their concerns. Instead, their attention was rapt on the ancient woman standing a few feet away. <STOP>After struggling for breath for a moment, she finally spoke in a voice thick with rage.","Pero la chica era la menor de sus preocupaciones. Su atención se centraba en la anciana que se encontraba a unos metros de distancia. <STOP>Una vez que esta consiguió retomar el aliento, empezó a hablar con voz áspera y encendida."
"""Dói pra caralho, não dói!? Agora sugiro que vocês vazem antes que eu jogue outra. <STOP>E se algum de vocês, arrombadinhos, tocarem na minha Kainé de novo, farei algo bem pior do que jogar uma pedra! Podem ter certeza disso."" <PAGE>","""Hurts like a bitch, don't it!? Now I suggest you scatter before I throw another one. <STOP>And if any of you little bastards ever touch my Kainé again, I'll do far worse than throw a rock! You can count on it.""<PAGE>","""¡¿A que duele, cabroncete?! Ahora, será mejor que te largues si no quieres que te lance otra. <STOP>¡Y si alguno de vosotros se atreve a tocar de nuevo a Kainé, os aseguro que mi venganza será mucho peor que un pedrusco!"".<PAGE>"
"A velha se agachou e gentilmente pegou na mão que Dimo usava para cobrir a ferida. <STOP>Antes que ele pudesse pensar em algo, ela pressionou sua palma na ferida e ficou torcendo para frente e para trás.","The old woman crouched down and gently touched the hand Dimo was using to cover the wound. <STOP>Before he could think to protest, she ground her palm into the wound and twisted back and forth. ","La anciana se agachó y agarró cuidadosamente la mano que Dimo estaba usando para cubrirse la herida. <STOP>Antes de poder reaccionar, la anciana colocó su palma sobre la herida del chico y se puso a retorcerla. "
"""Ai!"" ele gritou, ficando prontamente de pé. ""Para! O que cê tá fazendo?""","""Ow!"" he screamed, leaping to his feet. ""Stop it! What are you doing?""","""¡Ah!"", chilló él, levantándose de un salto. ""¡Para! ¡¿Qué haces?!""."
"""Para de choramingar! Nunca vi ninguém morrer por causa de um arranhão.""","""Quit whinin'! Ain't no one ever died from a scratch.""","""¡Deja de lloriquear! Nadie se ha muerto por un rasguño""."
"""Cê me acertou com uma pedra, sua puta! Uma grande! Aquilo poderia ter me matado!""","""You hit me with a rock, you stupid bitch! A big one! That thing coulda killed me!""","""¡Me has dado con una piedra, zorra de mierda! ¡Una enorme! ¡Podrías haberme matado!""."
"A velha deu de os ombros.","The old woman shrugged. ","La anciana se encogió de hombros. "
"""A morte é a melhor cura pra burrice.""","""Death is the best cure for stupid.""","""La muerte es la mejor cura para la estupidez""."
"O rosto de Dimo se contorceu de raiva com as palavras dela. Fixando os olhos em Kainé, ele deu um passo para trás e cuspiu no chão.","Dimo's face twisted with rage at her words. Locking his eyes on Kainé, he took a step backward and spat on the ground.","La cólera invadió el rostro de Dimo al oír sus palabras. Tras fijar la vista en Kainé, dio un paso atrás y lanzó un escupitajo al suelo."
"""Vazem! Deixem esta vila! Ninguém quer vocês aqui, nenhum de vocês!""","""Get out! Leave this village! No one wants you here, either of you!""","""¡Fuera! ¡Largaos de esta aldea! ¡Aquí nadie os quiere!"""
"Vendo que a velha pegaria outra pedra, Dimo e seus companheiros viraram as costas e fugiram. <STOP>Enquanto fugiam, a velha levou uma mão à cintura e soltou uma única risada.","Seeing the old woman grab another stone, Dimo and his companions turned tail and ran. <STOP>As they fled, the old woman grabbed her side and barked out a single laugh.","Al ver que la anciana cogía otra piedra, Dimo y sus compañeros pusieron pies en polvorosa. <STOP>Al verlos huir, esta puso los brazos en jarra y espetó una sonrisa."
"""Hah! Olha como o gordinho vai! <STOP>Acho que ele é saudável o suficiente para fugir de uma briga.""","""Hah! Look at the fat boy go! <STOP>Guess he's healthy enough to run from a fight.""","""¡Ja! ¡Mira cómo corre el gordito! <STOP>La energía que tiene para huir de una pelea""."
"O sorriso da mulher foi sumindo enquanto ela dirigia sua atenção à Kainé. <STOP>Ajoelhando-se, ela removeu seu xale e o colocou sobre os ombros da jovem, depois fez um pano das dobras de seu vestido e o usou para absorver o sangue em sua testa.","The woman's smile faded as she turned her attention to Kainé. <STOP>Kneeling down, she removed her shawl and placed it around the young girl's shoulders, then produced a cloth from the folds of her dress and began blotting at the blood on her forehead.","La sonrisa de la anciana se desdibujó cuando reparó en Kainé. <STOP>Tras ponerse de rodillas, se quitó el chal y lo dispuso sobre los hombros de la joven. Acto seguido, sacó un pañuelo de entre los pliegues de su vestido y comenzó a secar la sangre que tenía en la frente."
"""Oh, Kainé,"" ela disse. ""Por que você não revidou? Você é mais forte do que aqueles fedelhos.""<PAGE>","""Oh, Kainé,"" she said. ""Why didn't you fight back? You're stronger than that lot.""<PAGE>","""Oh, Kainé"", dijo. ""¿Por qué no te has revuelto? Eres más fuerte que esa panda"".<PAGE>"
"As palavras de sua avó feriram Kainé, e ela se afastou. ","The words of her grandmother stung Kainé, and she turned away. ","Las palabras de su abuela escocieron a Kainé, quien se dio la vuelta. "
"""Não seja legal comigo"", ela disse. ""Eu não mereço. Nada... nada mais importa.""","""Don't be nice to me,"" she said. ""I don't deserve it. Nothing...nothing matters anymore.""","""No seas tan buena conmigo"", espetó. ""No me lo merezco. Ya no... Ya no me importa nada""."
"As lágrimas dela, contidas por tanto tempo, finalmente começaram a cair no chão completamente enlameado.","Her tears, held in check for so long, finally began to fall on the muddy ground below.","Sus lágrimas, tras haberse visto intensamente reprimidas, comenzaron a precipitarse sobre el suelo cenagoso."
"""Todos m-me odeiam. Eles acham que eu faço coisas ruins acontecerem. Eles acham que sou uma aberração. <STOP>Eu só queria estar morta.""","""Everyone h-hates me. They think I cause bad things to happen. They think I'm a freak. <STOP>I wish I was dead.""","""Todo el mundo m-me odia. Me toman por gafe. Sí, se me tiene como un bicho raro. <STOP>Ojalá me hubiera muerto ya""."
"Enquanto as lágrimas de Kainé se transformavam em soluços, ela sentia as mãos da avó em seus ombros. <STOP>Apesar de sua idade avançada e tamanho diminuto, ela era uma mulher de força surpreendente, e Kainé se viu incapaz de se afastar.","As Kainé's tears turned to sobs, she felt her grandmother's hands on her shoulders. <STOP>Despite her advanced age and diminutive size, she was a woman of surprising strength, and Kainé found herself unable to turn away.","Kainé, cuyo llanto se tornó en sollozos, sintió las manos de su abuela en los hombros. <STOP>A pesar de su avanzada edad y su reducida estatura, gozaba de una fuerza encomiable, por lo que Kainé se vio incapaz de apartarse."
"""Não fala desse jeito, menina. <STOP>A morte é um rio largo e profundo que flui entre os reinos desse mundo e o próximo, e ela não concede perdão a qualquer um que tentar atravessar. Você tem o dever de lutar até seu último suspiro. <STOP>Entendeu?""","""Don't talk like that, girl. <STOP>It's a river wide and deep that flows between the realms of this world and the next, and it grants no mercy to any that attempt the crossin'. You got a duty to fight until your last breath. <STOP>Understand?""","""No digas esas cosas. <STOP>Entre los reinos de este mundo y el del más allá fluye un extenso y profundo río que se muestra implacable con aquellos que intentan cruzarlo. Debes luchar. Tu último aliento tendrá que esperar. <STOP>¿Me has entendido?""."
"A senhora a apertou mais forte e tentou acalmar o tremor em sua voz.","The old woman tightened her grip and tried to still the tremor in her voice.","La anciana apretó las manos y trato de apaciguar su voz."
"""Você conhece a dor de perder alguém próximo a você, Kainé. <STOP> Você sabe porque sobreviveu a isso.""","""You know the pain of losin' someone close to you, Kainé. <STOP>You know because you survived it.""","""Ya sabes lo que duele perder a un ser querido, Kainé. <STOP>Lo sabes porque sobreviviste a ello""."
"Assim que as palavras se tornavam reais, Kainé foi atingida pela força do amor que sentia por aquela senhora. <STOP>Quando criança, sequer sabia da existência da avó, mas quando seus pais morreram, a mulher rapidamente a aceitou como sua. <STOP>Vovó, como Kainé a chamava, era astuta, vulgar e um pouco pavio curto—seus primeiros anos juntas não foram fáceis. <STOP>Mas a cada ano que passava, Kainé e sua avó ficavam mais próximas. ","As the words hit home, Kainé was struck by the force of her love for the old woman. <STOP>As a young child, she didn't even know of her grandmother, but when her parents died, the woman quickly accepted her as her own. <STOP>Grandma, as Kainé called her, was cunning, vulgar, and quick to violence—and their first few years together had not been easy. <STOP>But with each year that passed, Kainé and her grandmother had grown closer. ","Tras oír aquellas impactantes palabras, Kainé sintió un torrente de amor por la anciana. <STOP>Apenas supo de ella en sus primeros años de vida, pero, cuando sus padres murieron, la mujer no tardó en adoptarla. <STOP>La abuela, como así la llamaba Kainé, era astuta, vulgar y de mecha corta... Se podría decir que sus primeros años juntas no fueron de color de rosa. <STOP>Sin embargo, las hojas del calendario fueron estrechando sus lazos cada vez más. "
"Entretanto, foi nesse momento, sentada na lama com lágrimas e sangue ressecado em seu rosto, que Kainé entendeu verdadeiramente a profundidade de seu afeto. <STOP>Ali estava uma mulher que havia passado por momentos difíceis; que havia visto a morte; que havia lutado contra todas essas coisas e de alguma forma sobreviveu.<LF><STOP>Se existia alguém capaz de compreender a dor e solidão de Kainé, era ela.","However, it was only now, sitting in the mud with tears and blood caking her face, that Kainé truly understood the depths of her affection. <STOP>Here was a woman who had seen hard times; who had seen death; who had fought through all these things and somehow emerged on the other side.<LF><STOP>If anyone could understand Kainé's pain and loneliness, it was her.","Pero fue en ese preciso instante, sentada sobre fango y con el rostro cubierto de sangre y lágrimas, <LF>cuando Kainé comprendió lo mucho que la quería. <STOP>Una mujer que había sufrido, que había visto la muerte, <LF>que había luchado contra todo eso y que había sobrevivido.<LF><STOP>Si alguien podía comprender el dolor y la soledad de Kainé, esa era ella."
"""...Eu te causo nojo, Vovó?""","""...Do I make you sick, Grandma?""","""¿Yo te doy asco, abuela?""."
"""Claro que não! Não seja idiota!""","""Course not! Don't be an ass!""","""¡¿Cómo me vas a dar asco?! ¡No seas idiota!""."
"Kainé enrolou o xale surrado da avó em torno de seu corpo e tremeu.","Kainé drew her grandmother's moth-eaten shawl around her body and shuddered.","Kainé se envolvió con el chal de la anciana, que estaba raído por las polillas, y se estremeció."
"""Mas o meu corpo. <STOP>Não é... normal. <STOP>Se eu fosse normal, então Mamãe e Papai não teriam—""","""But my body. <STOP>It's not...normal. <STOP>If I was normal, then Mom and Dad wouldn't—""","""Mi cuerpo. <STOP>Sé que... no es normal. <STOP>De ser así, mamá y papá no...""."
"""Cala a boca"", interrompeu a avó. ""Não quero ouvir mais uma palavra sobre essa bobagem. <STOP>Você é minha neta, eu te amo e se as pessoas têm um problema com isso, elas que vão pro inferno.""","""Hush,"" interrupted Grandma. ""I'll not hear another word of this nonsense. <STOP>You're my granddaughter, and I love you, and if folks have a problem with that, they can just go to hell.""","""Calla"", interrumpió la abuela. ""Ya está bien de tantas sandeces. <STOP>Eres mi nieta, te quiero, y si alguien tiene algo que objetar, que se vaya a hacer puñetas""."
"Com isso, a avó estendeu a mão e colocou uma guirlanda de flores secas no cabelo de Kainé. A habilidade necessária para dobrar as flores sem quebrar os caules ou perder uma única pétala era notável, e a beleza disso fez Kainé querer chorar novamente.","With that, the old woman reached out and placed a wreath of dried flowers in Kainé's hair. The skill it took to bend the flowers without breaking the stems or losing a single petal was remarkable, and the beauty of it made Kainé want to cry all over again.","Acto seguido, la anciana estiró el brazo y le puso a Kainé una corona de flores secas en el pelo. Gozaba de una técnica majestuosa, pues las flores se habían combado sin que los tallos se quebraran y manteniendo intactos los pétalos. Tal era su belleza que Kainé contuvo el llanto de nuevo."
"""Meu Deus! Essas são Lágrimas da Lua! <STOP>Vovó, você fez isso pra mim?""","""Oh my gosh! These are Lunar Tears! <STOP>Grandma, you made this for me?""","""¡Ay, por favor! ¡Son Lágrimas lunares! <STOP>Abuela, ¿has hecho esta corona para mí?""."
"Lágrimas da Lua eram flores lendárias; a maioria das pessoas poderia viver uma vida inteira sem nunca ver uma. E, ainda assim, sua avó de alguma forma havia coletado uma dúzia ou mais.","Lunar Tears were legendary flowers; most people could live their entire lives without ever seeing one. And yet her grandmother had somehow collected a dozen or more.","Las Lágrimas lunares son flores de leyenda y pocos son los que logran verlas alguna vez en su vida. No obstante, la abuela se las ingenió para hacerse con, al menos, una docena."
"Kainé estendeu a mão e tocou a coroa como se não pudesse acreditar que era real.","Kainé reached up and touched the wreath as if she couldn't believe it was real.","Kainé alzó el brazo y palpó la corona como si no diera crédito a lo que llevaba puesto."
"""O-onde você encontrou elas?""","""Wh-where did you find these?""","""¿D-donde las has encontrado?""."
"""Acabei esbarrando nelas enquanto estava fazendo compras."" <STOP>A senhora virou-se enquanto falava, fazendo Kainé suspeitar que a busca havia sido mais difícil do que ela deixava transparecer.","""Just stumbled on 'em while I was out doing the shoppin'."" <STOP>The old woman turned away as she spoke, leading Kainé to suspect that the search had been more difficult than she was letting on.","""Pues di con ellas un día que salí a hacer la compra"". <STOP>La anciana se giró mientras hablaba, por lo que Kainé sospechó que aquella búsqueda había sido más laboriosa de lo que había dejado entrever."
"Todo esforço que ela teve para fazer a coroa—sem mencionar a busca pelas flores usadas em sua fabricação—fizeram o coração de Kainé doer.","The pains she took to construct the ornament—let alone track down the flowers used in its construction—made Kainé's heart hurt.","Todo lo que había tenido que esforzarse para confeccionar el adorno y, sobre todo, para dar con las flores en cuestión, provocó cierto dolor en Kainé."
"Ela estendeu a mão e gentilmente ajustou a coroa, admirando como ela ficava entre seus dedos.","She reached up and gently adjusted the wreath, admiring the way it felt between her fingers.","Con sumo esmero, acertó a ajustarse la corona mientras descubría su preciado tacto."
"""Não encaixou certinho"", disse sua avó enquanto olhava para ela. ""Essas mãos velhas têm dificuldade com trabalhos delicados. Mas certamente fica bem em uma garota bonita como você.""","""Didn't quite turn out right,"" said her grandmother as she squinted at it. ""These old hands have trouble with delicate work. But it sure looks good on a pretty girl like you.""","""No es ninguna obra maestra"", dijo la abuela con ojos entornados. ""Estas viejas manos ya no son capaces de hilar fino, pero no cabe duda de que brilla en una joven tan bonita como tú""."
"Kainé ficou envergonhada e se virou.","Kainé blushed and turned away.","Kainé se ruborizó y se dio la vuelta."
"""Você... você me acha bonita?""","""You...you think I'm pretty?""","""Yo... ¿te parezco bonita?""."
"""Claro que sim! Que coisa tola de se dizer.""","""Course you are! What a fool thing to say.""","""¡Pues claro que sí! No seas boba, anda""."
"""M-muito obrigada, vovó.""","""Th-thank you, Grandma.""","""G-gracias, abuela""."
"Sua avó sorriu.","Her grandmother smiled.","Su abuela sonrió."
"""Nós vamos ficar bem, você e eu"", ela disse. ""Enquanto tivermos uma a outra, a gente vai ficar bem.""","""We're gonna be fine, you and me,"" she said. ""Long as we got each other, we'll be just fine.""","""Todo nos irá bien"", dijo. ""Mientras nos tengamos la una a la otra, todo irá sobre ruedas""."
"Kainé segurou a mão de sua avó e as duas fizeram leve esforço para se levantar. <STOP>Enquanto começavam a longa caminhada para casa, Kainé apertou a mão dela com toda força, como se estivesse tentando impedir a fumaça de se dissipar no vento.","Kainé took her grandmother's hand in hers, and the two of them struggled to their feet. <STOP>As they began the long walk home, Kainé gripped the hand with all her might, as if trying to stop smoke from drifting away on the wind.","Kainé tomó la mano de su abuela entre las suyas y se pusieron de pie. <STOP>Al emprender el largo camino a casa, Kainé apretó la mano con todas sus fuerzas, como si intentara impedir que el humo se disipara con el viento."
"A chuva tinha parado. <STOP>Kainé ficou embaixo do cata-vento, observando-o girar em círculos preguiçosos, sem se preocupar mais com a direção que ele apontava quando parou.","The rain had stopped. <STOP>Kainé stood beneath the weather vane, watching it spin in lazy circles, no longer caring about the direction it faced when it stopped.","La lluvia cesó. <STOP>Kainé se colocó debajo de la veleta, que daba vueltas lentamente, sin preocuparse por la dirección a la que quedó apuntando al detenerse."
"<FONT=ITALIC>Eu não preciso fugir. Agora tenho um lar.</FONT>","<FONT=ITALIC>I don't need to escape. I have a home now.</FONT>","<FONT=ITALIC>Ya no tengo que huir. Ahora tengo un hogar.</FONT>"
"<FONT=ITALIC>A vovó me ama e isso basta.</FONT> <STOP><FONT=ITALIC>Mesmo que sejamos nós contra o mundo.</FONT>","<FONT=ITALIC>Grandma loves me, and that's enough.</FONT> <STOP><FONT=ITALIC>Even if it's us against the world.</FONT>","<FONT=ITALIC>La abuela me quiere y con eso me basta.</FONT> <STOP><FONT=ITALIC>Nosotras solas contra el mundo.</FONT>"
"Kainé fixou seu olhar para cima, além do cata-vento, olhando para o céu nublado.","Kainé let her gaze drift up past the vane and into the cloudy sky.","Kainé se quedó observando el cielo encapotado mientras ignoraba la veleta."
"Os últimos vestígios tênues de um arco-íris estavam lentamente desaparecendo.","The last faint hints of a rainbow were slowly fading.","Las últimas pinceladas de un arcoíris se desvanecían poco a poco."
"Enquanto ela seguia de volta para casa, a luz se espalhava em um milhão de partículas e desaparecia, aparentemente levada pela brisa.","As she turned and headed for home, the light scattered into a million particles and vanished, seemingly taken away on the breeze.","Al volverse para ir a casa, la luz quedó repartida en un millón de partículas y desapareció, aparentemente, a causa de la brisa."
"Ao longe, Kainé ouviu os sons constantes de um machado batendo na madeira. O barulho tinha uma notória qualidade, como se ela estivesse ouvindo um mestre lenhador executando seu trabalho.","In the distance, Kainé heard the steady sounds of an axe striking wood. The noise had a purposeful quality to it, as if she was hearing a master woodsman go about his work.","A lo lejos, Kainé pudo apreciar el constante sonido de un hacha contra la madera. Era un sonido firme, como si se tratase de un leñador realizando su faena."
"A lenha que estava sendo produzida, no entanto, estava longe de ser uma obra de arte; pedaços de todas as formas e tamanhos estavam sendo jogados em um quintal infértil e totalmente abandonado. <STOP>Qualquer um que tentasse empilhar tal lenha provavelmente morreria de frustração antes de terminar o trabalho.<PAGE>","The firewood being produced, however, was as far from a work of art as could be; pieces of every shape and size were being flung about a barren yard with wild abandon. <STOP>Anyone trying to stack such wood would probably die of frustration before the job was through.<PAGE>","Sin embargo, los troncos de leña resultantes no gozaban de ninguna finura artística, pues aquellos trozos, de toda suerte de formas y tamaños, eran arrojados a un terreno baldío sin la menor mesura. <STOP>Apilar aquella leña se antojaba un trabajo interminablemente frustrante.<PAGE>"
"""Pedaço de machadinho inútil!""","""Stupid piece of shit axe!""","""¡Maldita hacha de los cojones!""."
"A avó de Kainé golpeou a machadinha, enchendo o ar tanto com lascas de madeira quanto com palavras que fariam o marinheiro mais experiente ficar com vergonha.","Kainé's grandmother flailed away with the axe, filling the air with both splinters of wood and words that would make the most hardened sailor blush.","La abuela de Kainé se agitó con el hacha, lo que provocó que las astillas se cruzaran en el aire con improperios que harían sonrojarse al marinero más curtido."
"""Vovó!"" Kainé chamou.","""Grandma!"" called Kainé.","""¡Abuela!"", espetó Kainé."
"""É você, Kainé!?"" gritou a avó, tirando seus olhos da madeira por um momento. <STOP>""Não chegue muito perto, ou eu posso arrancar a porra do seu pé sem querer.""","""That you, Kainé!?"" yelled the old woman, taking her eyes off the wood for a moment. <STOP>""Don't get too close, or I might take your goddamn foot off by mistake.""","""¡¿Eres tú, Kainé?!"", gritó la anciana apartando la vista de la leña un instante. <STOP>""No te acerques demasiado, a ver si voy a cortarte el puto pie por accidente""."
"Ela desceu o machado em um pedaço de madeira, fazendo com que pedaços voassem em todas as direções. Um deles passou tão perto de Kainé que ela sentiu seu vento, e nesse momento decidiu se afastar.","She brought the axe down on a piece of wood, sending chips flying in every direction. One spun past Kainé close enough for her to hear the whistle, at which point she decided to step back.","Hendió el hacha en un trozo de madera y las astillas volaron en todas direcciones. Una de ellas le pasó tan cerca a Kainé que pudo oír un silbido, por lo que decidió retroceder."
"Assim que ficou a uma distância segura, ela colocou as mãos ao redor da sua boca e gritou.","Once she'd scuttled to a safe distance, she cupped her hands around her mouth and shouted. ","En cuanto hubo guardado una distancia prudencial, ahuecó las manos junto a la boca y gritó. "
"""Vovó!""","""Grandma!""","""¡Abuela!""."
