"Afastem-se, seus monstros!","Get away, you freaks!","¡Largo de aquí, monstruos!"
"Ela está tentando <FONT=ITALIC>ajudar</FONT> vocês!","She's trying to <FONT=ITALIC>help</FONT> you!","¡Solo intenta <FONT=ITALIC>ayudaros</FONT>!"
"Não me defenda!","Don't defend me!","¡No salgas en mi defensa!"
"Por que essas pessoas estão dizendo coisas tão horríveis sobre você?","Why are these people saying such horrible things about you?","¿Qué hace esta gente diciendo cosas tan horribles sobre ti?"
"Tanto faz. É tudo verdade, de qualquer maneira.","Whatever. It's all true, anyway.","Vete a saber, pero van en serio."
"Nós devemos nos juntar a ela.","We should join her.","Deberíamos unirnos a ella."
"Certo!","Right!","¡Sí!"
"É ótimo tê-la do nosso lado, Kainé!","It's great to have you on our side, Kainé!","¡Es estupendo tenerte con nosotros, Kainé!"
"Oh, meu Deus, cala a boca.","Oh my god, shut up.","Ay, por favor, cierra el pico."
"Olha, só tenta acompanhar, ok?","Look, just try and keep up, okay?","Limítate a mantener el ritmo, ¿quieres?"
"Tô fazendo o meu melhor!","I'm doing my best!","¡Hago lo que puedo!"
"Deixa comigo. Suba lá e espere por ele!","I got this. Get up there and wait for him!",
"Ok. Se cuida.","Okay. Watch yourself.",
"Minha avó nunca diria isso!","My grandmother would never say that!","¡Mi abuela jamás diría algo así!"
"Ela nunca me diria para desistir da vida! Nunca!","She'd never tell me to give up on life! Never!","¡Ella nunca me diría que bajara los brazos! ¡Nunca!"
"Passei minha vida inteira procurando um jeito de vingar a morte dela!","I've spent my entire life searching for a way to avenge her death!","¡Me he pasado toda la vida buscando el modo de vengar su muerte!"
"Ela me deu a força para lidar com esse maldito corpo mutante!","She gave me the strength to deal with this goddamn mutant body!","¡Ella me dio la fuerza para lidiar con este maldito cuerpo mutante!"
"Você sabe há quanto tempo tô assim? O quanto me odeio?","Do you know how long I've been like this? How much I loathe myself?","¿Tienes idea de cuánto tiempo llevo siendo así? ¿Sabes cuánto me odio?"
"Agora!","Now!","¡Ahora!"
"Deixa comigo!","I'm on it!","¡Estoy en ello!"
"Kainé!","Kainé!","¡Kainé!"
"Acho que ela pretende morrer onde ela está.","I think she intends to perish where she lies.","Creo que tiene la intención de morir."
"E, de fato, talvez a morte seja o maior conforto que possamos oferecer a ela.","And in truth, perhaps death is the greatest comfort we can offer her.","Y puede que la muerte sea el mejor descanso que podemos ofrecerle."
"Essa não é sua decisão!","That's not your decision!","¡Esa decisión no te corresponde!"
"Hm?","Mmm?","¿Mmm?"
"Você não tem o direito de decidir quem vive e quem morre.","You don't get to decide who lives and who dies.","Tú no decides quién vive y quién muere."
"Ela é uma vida! Ela tem significado e valor, e vamos salvá-la!","She's a life! She has meaning and worth, and we're going to save her!","¡Está viva! ¡Tiene valor y propósitos! ¡Vamos a salvarla!"
"Todo mundo tem algo pelo que viver. Até a Kainé.<LF>...Até a Yonah.","Everyone has something to live for. Even Kainé.<LF>...Even Yonah.","Todos tenemos algo por lo que vivir. Incluso Kainé. Incluso Yonah."
"Talvez você devesse guardar suas palavras bonitas para ela em vez de desperdiçá-las comigo.","Perhaps you should save your pretty words for her instead of wasting them on me.","Guárdate la poesía para ella en vez de desperdiciarla conmigo."
"Eu não vou abandonar ela. Não assim.","I won't leave her. Not like this.","No la abandonaré. Así no."
"Como se chega ao deserto?","How does one reach the desert?","¿Cómo se llega al desierto?"
"Precisamos voltar à vila, depois sair pelo portão leste.","We need to head back to the village, then leave by the east gate.","Tenemos que regresar a la aldea, y luego salir por la puerta del este."
"Eu imagino que um livro como eu acharia o clima árido de um deserto bastante agradável.","I imagine a tome such as myself will find an arid desert climate quite delightful.","Imagino que un libro como yo encontrará el árido clima del desierto toda una delicia."
"Não temos nada pra fazer aqui.","We have no business here.","Aquí no tenemos nada que hacer."
"Pff! Bah! Ugh... Tem areia entre minhas páginas!","Pah! Bah! Ugh... There is sand between my pages!","¡Argh! ¡Buah! Ag... ¡Tengo arena entre las páginas!"
"Eu tenho areia em lugares que eu não sabia que tinha.","I've got sand in places I didn't know I had.","Tengo arena en lugares de mi cuerpo que no sabía ni que existían."
"Como eu disse, não temos negócios aqui! Devíamos voltar imediatamente!","As I said, we have no business here! We should turn back at once!","¡He dicho que aquí no tenemos nada que hacer! ¡Deberíamos dar media vuelta!"
"Então, como é Facade?","So what's Facade like?","¿Y cómo es Fachada?"
"É estranho. Vamos colocar dessa forma.","It's strange. Let's just leave it at that.","Es extraño. Dejémoslo ahí."
"Mais estranho do que uma jovem mal-educada que luta contra monstros usando roupas íntimas!?","Stranger than a boorish young woman who battles monsters in her undergarments!?","¡¿Más extraño que una joven grosera que mata monstruos en ropa interior?!"
"...Vamos indo.","...Let's go.","Vamos..."
" Lobos!","Wolves!","¡Lobos!"
"Cuidado!","Look out!","¡Cuidado!"
"Espere. Eles estão indo embora.","Wait. They're leaving.","Espera. Ya se marchan."
"Aquele parece ser o líder da matilha.","That one appears to be the pack leader.","Ese parecía ser el lobo alfa."
"Vamos, Weiss! Me ajuda!","Come on, Weiss! Help me out already!","¡Vamos, Weiss! ¡Ayúdame de una vez!"
"Eu sou um livro brilhante de valor inestimável, não um guia de viagem de canto de página!","I am a brilliant book of unspeakable value, not some dog-eared travel guide!","¡Soy un libro de valor incalculable, no una guía de viajes barata!"
"Sinto que estamos apenas dando voltas aqui...","I feel like we're just going in circles here...","Tengo la impresión de que nos movemos en círculos..."
"Se ao menos pudéssemos falar com os moradores, com certeza não teríamos problemas para chegar à mansão do rei.","If only we could speak to the locals, I've no doubt we'd have little trouble reaching the king's manor.","Sería fácil llegar a la mansión del rey si pudiéramos hablar con la gente."
"Teremos de encontrar uma rota por conta própria.","We'll just have to suss out a route on our own.","Tendremos que apañárnoslas para encontrar un camino."
"Hm... Acho esta cidade estranha. Nós somos claramente forasteiros, e ainda assim parecem completamente despreocupados com nossa presença aqui.","Mmm... I find this town odd. We are clearly outsiders, and yet they seem completely unconcerned with our presence here.","Mmm... Aquí hay algo raro. Somos forasteros y aun así pasamos desapercibidos."
"Bem, é muito melhor do que ser expulso por ser diferente.","Well, it's way better than being thrown out for being different.","Bueno, mejor eso que ser expulsado por ser diferente."
"Oh? E o que aconteceu em ajudar os outros, mmm?","Oh? And what happened to helping others, mmm?","¿Eh? ¿Y dónde quedó lo de ayudar a los demás, eh?"
"Não temos coisas para resolver aqui?","Don't we have business to attend to here?",
"Parece que estamos impedindo o progresso.","It would seem we are impeding progress.",
"(Oh meu Deus!)","(Oh my gosh!)","(¡Madre mía!)."
"Por que eles fizeram um monte de regras que se contradizem?","Why'd they make a bunch of rules that contradict each other?","¿Para qué elaborar un montón de normas que se contradicen entre ellas?"
"Este é o caminho deles e o sistema de leis deles. Como estrangeiros, não podemos opinar sobre. Agora venha. Devemos partir.","This is their way and their system of laws. As outsiders, we have no say in the matter. Now come. We should be off.","Es su sistema jurídico. No somos de aquí, ni pinchamos ni cortamos. Vámonos."
"Fyra com certeza é corajosa, não é?","Fyra sure is brave, isn't she?","Fyra es de lo más valiente, ¿verdad?"
"Para um corpo tão minúsculo, ela parece possuir reservas quase ilimitadas de energia.","For such a miniscule body, she seems to possess almost boundless stores of energy.","Para el cuerpecito minúsculo que tiene, su energía parece inagotable."
"(Eu vou guiá-los pelo deserto. Por favor, fiquem perto de mim.)","(I will guide you through the desert. Please stay close to me.)","(Os guiaré a través del desierto. Quedaos cerca de mí)."
"Estamos deixando a garota para trás?","Are we leaving the girl behind?","¿Vamos a prescindir de la chica?"
"Droga! Perdemos Fyra!","Blast! We've lost Fyra!","¡Córcholis! ¡Hemos perdido a Fyra!"
"Droga! Perdemos Fyra!","Blast! We've lost Fyra!","¡Córcholis! ¡Hemos perdido a Fyra!"
"Fiquem perto da garota agora!","Stay close to the girl now!","¡No te alejes de la chica!"
"Cuidado com os lobos!","Beware the wolves!","¡Cuidado con los lobos!"
"Qual o significado disso?","What was that supposed to mean?","¿Qué se supone que significa eso?"
"Desculpe, o que foi agora?","Sorry, what now?","Perdona, ¿ahora qué?"
"Acho que temos que obedecer às regras.","Guess we have to play by the rules.","Tendremos que acatar las normas."
"Bah! Que inconveniência.","Bah! What a bother.","¡Bah! Vaya fastidio."
"Eu me pergunto como deve ser esse príncipe.","I wonder what this prince is like.","¿Cómo será ese príncipe?"
"O homem é encarregado de proteger seu povo e, ainda assim, os fez trabalhar penosamente para salvá-lo. Creio que isso nos diga tudo que precisamos saber.","The man is tasked to protect his people, and yet he's made them toil to save him. I think that tells us everything we need to know.","En vez de proteger a su pueblo, se dedica a explotarlos. Queda claro."
"(E EXATAMENTE O QUE isso te diz?)","(And what exactly DOES that tell you?)","(¿Qué quieres decir exactamente?)."
"... Que ele é um tolo incompetente.","...That he is an incompetent fool.","Que es un zopenco incompetente."
"(O que você disse!?)","(What did you say!?)","(¡¿Cómo has dicho?!)."
"Acabei de ouvir alguém?","Did I just hear someone?","¿Acabo de oír a alguien?"
"A criança chorona está lá dentro!","That mewling child is inside!","¡Esa llorona está dentro!"
"Como você nos encontrou!?","How did you find us!?","¡¿Cómo nos has encontrado?!"
"Sei lá. Só desci o cacete em muita gente e acabei aqui.","Beats me. I just kicked a buncha ass and wound up here.","Ni idea. Me puse a repartir tortas y he acabado aquí."
"E nem se importou em se vestir!","And without even bothering to get dressed!","¡Y sin siquiera molestarse en vestirse!"
"Foda-se, livro!","Fuck off, book!","¡Vete a tomar por culo, libro!"
"Estou preocupado com Yonah. Vamos voltar.","I'm worried about Yonah. Let's go back.","Estoy preocupado por Yonah. Regresemos."
"Eu suponho que regras são regras, mesmo sendo absurdas.","I suppose rules are rules, even if they are absurd.","Supongo que las reglas son las reglas, aunque sean absurdas."
"Eu não acho que sejam absurdas.","I don't think they're absurd.","A mí no me parecen absurdas."
"Ah, é?","Oh?","¿Eh?"
"Aquelas regras são importantes para o Povo Mascarado.","Those rules are important to the Masked People.","Esas reglas son importantes para el Pueblo enmascarado."
"Não me diga.","You don't say.","No me digas."
"É sério. E acho importante respeitarmos isso.","I do—and I think it's important we respect that.","Pues sí, y creo que es importante respetar eso."
"Muito bem. O garoto está começando a soar como um homem!","Well, well. The boy is beginning to sound like a man!","Vaya, vaya. ¡El niño empieza a hablar como un hombre!"
"Garoto? Não sou nenhuma criança, sabe...","Boy? I'm not a kid, you know...","¿Niño? Ya no soy ningún crío, ¿sabes?"
"Ei. Conversem menos e caminhem mais.","Hey. Less talking, more walking.","Eh, menos hablar y más andar."
"Para um Verso Selado, isso não exigiu muito esforço.","For a Sealed Verse, that didn't take much effort.",
"Sim... um pouco fácil demais, se me permite dizer.","Yes...all a touch too easy, if you ask me.",
"Foi como se tivéssemos sido guiados para esta vila...","It's almost as if someone was guiding us to this village...",
"Não pensa demais nisso, Weiss.","You think too much, Weiss.",
"Então, como foi na vila?","So how was the village?",
"Oh, foi realmente magnífico. Não há palavras, realmente.","Oh, it was truly magnificent. There are no words, really.",
"Hmm. Daora.","Huh. Neat.","Vaya, qué bien."
"Vamos voltar para a Popola.","Let's go back to Popola.",
"Ela provavelmente vai querer saber o que está acontecendo ali dentro.","She'll probably want to know what's going on in there.",
,,
,,
"Bem, chegamos tão longe. Suponho que não possamos voltar agora.","Well, we've come this far. I suppose we can't turn back now.","Bueno, ahora que hemos llegado tan lejos, ya no podemos dar marcha atrás."
"Sim, precisamos encontrar esse amigo da Yonah.","Yeah, we need to meet this friend of Yonah's.","Sí, debemos encontrar a ese amigo de Yonah."
"Eu não gosto disso nem um pouco!","I do not like this one bit!","¡Esto no me gusta ni un pelo!"
"Qual é o problema, Weiss? Tá com medo?","What's the matter, Weiss? Scared?","¿Qué te pasa, Weiss? ¿Tienes miedo?"
"Sombras!","Shades!","¡Sombras!"
"De que buraco imundo eles saíram?","What foul hole did they crawl from?","¿De qué infecto agujero han salido?"
"Weiss, o que devemos fazer sobre a Kainé?","Weiss, what should we do about Kainé?","Weiss, ¿qué deberíamos hacer con Kainé?"
"Deixe-a! Aquela mulher é extremamente capaz, mesmo sozinha.","Leave her! That woman is capable enough on her own.","¡Olvídate de ella! Esa mujer sabe cuidar de sí misma."
"Credo. Me lembre de nunca te deixar irritado...","Geez. Remind me to never get on your bad side...","Madre mía. Recuérdame que nunca te ponga de mala leche..."
"Sombras!","Shades!","¡Sombras!"
"Maldição, estamos presos!","Damn, we're shut in!","Maldita sea, ¡nos han encerrado!"
"Minhas sinceras desculpas por toda essa confusão.","I'm really sorry for all the trouble.","Sé que es mucho pedir. Lo siento."
"Meu mordomo se importa demais comigo, mas para ele ter feito pedidos tão estranhos...","My butler cares so much for me,<LF>but for him to make such outlandish requests...","¡Al menos puedo petrificar a vuestros enemigos! Eso puede ser de ayuda, ¿no?"
"Aranhas!","Spiders!","¡Arañas!"
"Cuidado com o veneno, Emil!","Watch out for the poison, Emil!","¡Cuidado con el veneno, Emil!"
"Certo!","Right!","¡Cierto!"
"Hmm. Este livro é meio como você, Weiss!","Huh. This book's kinda like you, Weiss!","Je. ¡Este libro es clavadito a ti, Weiss!"
"Oh, como somos espertos! Como se algum mero livro pudesse se comparar à maravilha que é Grimório Weiss!","Ho, aren't we clever! As if any mere tome could compare to the wonderment that is Grimoire Weiss!","¡Qué disparate! ¡La grandiosidad de Grimoire Weiss no tiene parangón!"
"A petrificação é um poder temível, de fato!","Petrification is a fearsome power indeed!","¡La petrificación es un poder francamente aterrador!"
"Ah não! Isso não tem fim!","Ugh! There's no end to this!","¡Uf! ¡Esto no se acaba nunca!"
"Oh não! Isso eu não consigo petrificar!","Oh no! I can't petrify it!","¡Oh, no! ¡No puedo petrificarlo!"
"Kainé!","Kainé!","¡Kainé!"
"E onde você esteve, hmmm?","And where have you been, hmmm?","¿Y dónde te habías metido, eh?"
"Perdida. E vocês, onde estavam?","Lost. Where've you been?","Me perdí. ¿Dónde estabais?"
"Apanhando pra essa coisa! Ajuda!","Getting stomped by this thing! Help!","¡Llevándonos una paliza de esta cosa! ¡Ayúdanos!"
"A força desse inimigo é desmedida!","This foe's strength is beyond measure!","¡La fuerza de este enemigo es colosal!"
"E o que a gente faz!?","What do we do!?","¡¿Qué podemos hacer?!"
"Eu sou um texto arcano, não um manual de combate! É você quem deve lidar com esses problemas!","I am an arcane text, not some manual of combat!<LF>You are supposed to deal with such matters!","¡No soy un manual de combate! ¡Se supone que esto es tarea tuya!"
"Pessoal, corram! Eu vou contê-lo enquanto vocês fogem!","You guys run! I'll hold it off while you escape!","¡Corred! ¡Os cubriré mientras escapáis!"
"Quem é esse moleque?","Who's this kid?","¿Y este crío quién es?"
"Este é Emil. É ele que coordena essa—","That's Emil. He's the one who runs this—","Emil. Es quien se encarga de..."
"Porra, esse livro é um pé no saco!","Fuck, this book is a real asshole!","¡Joder, este libro es un capullo integral!"
"Ela não tá nem ouvindo.","She's not even listening.","Ni siquiera estaba escuchando."
"Ela está ocupada vomitando essa sujeira disfarçada de linguagem...","She's too busy vomiting filth disguised as language...","Está demasiado ocupada echando sapos y culebras por la boca..."
"Pessoal, vão! Essa é a minha luta, não posso aceitar que morram por mim!","You guys go! This is my fight, I can't ask you to die for me!","¡Marchaos! ¡Esta es mi lucha, no puedo pediros que muráis por mí!"
"Céus, se não somos nós os corajosos? Mesmo assim, receio que seja uma tola decisão a ser tomada nesta situação.","My, aren't we the bold one! And yet, I fear that would be a foolish course of action at this juncture.","Mira que somos audaces, ¿eh? Aun así, me temo que eso sería una estupidez."
"Além disso, nunca deixaríamos você fazer isso!","Besides, we'd never let you do that!","Además, ¡nunca te dejaríamos solo!"
"Vocês poderiam por favor calar a porra da boca?","Would you all please shut the hell up?","¿Podéis hacer el favor de callaros todos la puta boca?"
"O quê?","What?","¿Qué?"
"Só tô falando, se os chatões quiserem mesmo ter uma maldita discussão civilizada sobre os méritos da coragem e do sacrifício, podemos fazer isso depois!","I'm just saying, if you bastards wanna have a goddamn civilized discussion on the merits of bravery and sacrifice, we can do it later!","¡Capullos, dejad para luego esas chorradas del valor y el sacrificio!"
"Este é o seu jeito de nos encorajar?","Is this your way of encouraging us?","¿Es esa tu forma de darnos ánimos?"
"Chegamos mesmo ao ponto onde uma mulher semi-nua está nos dando discursos motivacionais?","Have we truly sunk to motivational speeches from a woman in her undergarments?","¿Estamos escuchando discursos motivacionales de una mujer en ropa interior?"
"Acho que sim!","I guess so!","¡Eso parece!"
"Agora!","Now!","¡Ahora!"
"Hmmm. Te vi trocando algumas palavras com o camarada Emil antes.","Mmmm. I saw you exchange some words with that Emil lad earlier.","Mmm. Te he visto antes intercambiando unas palabras con ese tal Emil."
"......","......","......"
"Espero que não tenha sido nada...inapropriado para um jovem da idade dele? Hmmm?","Hopefully it was nothing...inappropriate for a young man of his age? Hmmm?","Espero que no fuera algo... inapropiado para un jovencito. ¿Eh?"
"......","......","......"
"Diga a verdade, vadia!","Speak the truth, hussy!","¡Confiesa, descocada!"
"Livro? ...Cala a boca.","Book? ...Shut up.","Cierra el pico, libro."
"Yonah está ficando mais fraca a cada dia.","Yonah's looking weaker and weaker every day.","Yonah parece cada vez más débil."
"Sim, mas não deixe de acreditar; você é a última esperança da menina.","Yes, but do not lose heart; you are the girl's last remaining hope.","Sí, pero no te vengas abajo; eres la última esperanza de esa chica."
"As Sombras estão atacando!","The Shades are attacking!","¡Las Sombras están atacando!"
"Eu vou matar cada um de vocês!","I'll kill every last one of you!","¡Os mataré a todas y cada una!"
"Cachorrinhos como vocês não são dignos do nosso aço!","You whelps are hardly worthy of our steel!","¡No sois dignos de nuestro acero, mequetrefes!"
"Venham! Venham com tudo que tiverem!","Come on! Bring everything you got!","¡Vamos! ¡Enséñame lo que sabes hacer!"
"Patético! Até na morte eles me dão nojo!","Pathetic! Even in death they disgust me!","¡Patético! ¡Hasta en la muerte me repugnan!"
"Santo Deus, o que é aquele bruto!?","Dear god, what is that brute!?","Madre mía, ¡¿y esa bestia?!"
"Eu não sei, mas temos que derrotá-lo!","I don't know, but we gotta take it down!","¡No lo sé, pero tenemos que derrotarla!"
"Olhe para onde está indo!","Look where it's headed!","¡Mirad adónde se dirige!"
"Como se eu fosse deixar!","Like hell it is!","¡No si yo puedo impedirlo!"
"Nos subestime por sua conta e risco, monstro!","Underestimate us at your own peril, fiend!","¡Atrévete a subestimarnos, engendro!"
"Continua batendo! Em algum momento deve começar a funcionar!","Keep hitting it! At some point, it's gotta start working!","¡Seguid golpeando! ¡En algún momento tiene que dar resultado!"
"Estaria ela tentando elevar nossa moral, ou é genuinamente insana assim?","Is she trying to raise our morale, or is she honestly that insane?","¿Está intentando subirnos la moral o está así de chalada?"
"Qualquer uma delas funciona pra mim. Vamos lá!","Either one works for me. Let's go!","Sea lo que sea, a mí me vale. ¡Vamos!"
"Hoje você vai morrer, merdol!","You're gonna die today, shit-hog!","¡Te ha llegado la hora, tragamierdas!"
"Merdol? Oh, fala sério, nem é uma palavra real!","Shit-hog? Oh come now, that's not even a real word!","¿Tragamierdas? Por favor, ¡esa palabra ni siquiera existe!"
"Parece que você aprendeu a manejar essa coisa.","Looks like you've learned how to swing that thing.","Parece que has aprendido a manejar esa cosa."
"Fico feliz que você percebeu!","I'm glad you noticed!","¡Me alegro de que te hayas dado cuenta!"
"Você está quase lá! Continue pressionando!","You're almost there! Keep pushing!","¡Ya casi está! ¡Sigue así!"
"Você realmente sabe como lutar, Kainé!","You really know how to put up a fight, Kainé!","¡Tú sí que sabes repartir, Kainé!"
"Seu teimoso filho de uma puta!","You stubborn son of a bitch!","¡Muere, maldita cabrona!"
"Merda!","Shit!","¡Joder!"
"Está regenerando muito rápido!","It's healing too quickly!","¡Se está curando demasiado rápido!"
"Por favor, me diga que você tem uma ideia!","Please tell me you have an idea!","¡Dime que tienes una idea!"
"Talvez possamos encurralá-lo perto do porão e selá-lo lá.","Perhaps we could chase it to the basement and seal it there.","Quizá podríamos ir hasta el sótano y encerrarla allí."
"Aquelas paredes são de rocha grossa; duvido muito que essa fera consiga quebrá-la.","Those walls are thick rock; I doubt even this beast could break them.","Esos muros son de piedra gruesa; dudo que incluso esta bestia pueda romperlos."
"Pode ser que funcione!","Works for me!","¡Me vale!"
"Ótimo! Eu adoro porões!","Great! I love basements!","¡Genial! ¡Me encantan los sótanos!"
"Faça isso! Jogue-o dentro do porão!","Do it! Knock it down the basement!","¡Pues venga! ¡Bajemos al sótano!"
"Seu maldito!","Damn you!","¡Maldita sea!"
"Nossas verdadeiras memórias ainda estão aí! Como se atreve a ignorá-las!?","Our true memories are still there! How dare you ignore them!?","¡Nuestros verdaderos recuerdos siguen allí! ¡¿Cómo osas ignorarlos?!"
"Talvez você só as tenha anotado em minhas margens, hmmm?","Perhaps you should have scribbled them in my margins, hmmm?","A lo mejor deberías haberlos garabateado en mis márgenes, ¿no te parece?"
"Droga. A biblioteca não vai aguentar muito tempo!","Damn. This library isn't gonna hold for long!","Mierda. ¡Esta biblioteca no va a aguantar mucho!"
"Devemos acabar com isso rápido!","We must finish this quickly!","¡Tenemos que acabar con esto rápido!"
"E você é o último que resta, Noir!","And you are the last one left, Noir!","¡Y tú eres el único que queda, Noir!"
"N-Noir...? Refira-se a mim pelo nome correto, idiota!","N-Noir...? Address me by my proper name, fool!","¿N-Noir...? ¡Dirígete a mí de manera apropiada, idiota!"
"Não tenho tempo para rodeios.","I don't have time for sightseeing.","No tengo tiempo para ver el paisaje."
"Não preciso sair ainda.","I don't need to go out quite yet.","No quiero despedirme tan pronto."
"Ela não podia ter deixado a vila...","She couldn't have left the village...","No puede haberse marchado de la aldea..."
"Acho que a Popola disse para irmos para leste...","I think Popola said to head east...","Creo que Popola dijo que se fue hacia el este..."
"Melhor eu procurar novamente pela cidade.","I'd better look around town some more.","Será mejor que registre un poco más la zona."
"Preciso de mais informações dos aldeões.","I need to gather more info from the villagers.","Necesito recabar más información de los aldeanos."
"Tenho que matar aquela Sombra!","I have to kill that Shade!","¡Tengo que acabar con esa Sombra!"
"Não posso entrar ainda...","I can't get in yet...","No puedo entrar todavía..."
"Tenho que salvar os aldeões!","I have to save the villagers!","¡Tengo que salvar a los aldeanos!"
"Não é para onde eu preciso ir.","This isn't where I need to be going.","No se me ha perdido nada por ahí."
"Acho que você não pode se aventurar aqui novamente.","I don't think you can venture in here again.","No creo que puedas volver a aventurarte por aquí."
"A tempestade de areia está muito intensa para continuar.","The sandstorm's too intense to go any further.","Es imposible avanzar más con esta gran tormenta de arena."
"Outra Sombra...? Elas simplesmente não desistem, né?","Another Shade...? They just don't give up, do they?",
"Vamos logo!","Let's move!",
"Mmm? A Sombra tinha uma flor?","Mmm? The Shade had a flower?","¿Mmm? ¿La Sombra llevaba una flor?"
"Essa é uma Frésia - a mesma flor que estávamos entregando para a mulher.","This is a freesia—the same flower we were delivering to the woman.","Es una fresia... La misma flor que fuimos a entregarle a la mujer."
"Oh-oh. Talvez a namorada dele tenha sido atacada por uma Sombra...","Uh oh. Maybe his girlfriend was attacked by a Shade...","Oh, oh. Puede que una Sombra haya atacado a su novia..."
"Olhe...","Look...",
"Seria aquele o cão que estávamos procurando?","Would that be the canine we were looking for?",
"Malditas Sombras!","Damn Shades!",
"Cara, isso é difícil. O que a gente faz, Weiss? O que a gente faz!?","Oh man, this is tough. What do we do, Weiss? What do we do!?","Buf, menudo berenjenal. ¿Y ahora qué hacemos, Weiss? ¡¿Y ahora qué hacemos?!"
"Recomponha-se, rapaz! Não há necessidade de se preocupar com um problema criado por outra pessoa.","Calm yourself, lad! There's no need to get in a froth over a problem of someone else's making.","¡Calma, muchacho! ¡No hace falta desesperarse por un problema ajeno!"
"Será que fizemos a coisa certa?","Did we do the right thing?","¿Hicimos lo correcto?"
"Ela estava feliz?","Was she happy?","¿Era feliz?"
"Não sei.","I do not know.","No lo sé."
"Ninguém pode dizer o que é a verdadeira felicidade.","None can say what true happiness is.","Nadie sabe en qué consiste la verdadera felicidad."
"Os humanos e talvez até tomos mágicos são criaturas muito mais incertas do que imaginamos.","Humans—and perhaps even magical tomes—are far more uncertain creatures than we know.","Los humanos y los tomos mágicos son criaturas más inciertas de lo que creemos."
,,
"Sim, eu acho.","Yeah, I guess.","Sí, supongo."
"MEU DEUS, TEM UM MONTE DE SOMBRAS À DIRE-","OHMIGOSH! THERE'S A HUGE PACK OF SHADES RIGHT—",
"Cala a boca.","Shut up.",
"Uh... O que é aquela coisa grande ali na direita?","Uh... What's that big thing on the right?",
"Me engane uma vez e você deveria se envergonhar! Engane-me duas vezes<LF>e eu o punirei com magia profana!","Fool me once, shame on you! Fool me twice,<LF>and I shall smite you with unholy magic!",
"É uma matilha de lobos, cara!","It's a pack of wolves!",
"Talvez se eu cortar sua língua, você não seja tão... <LF>Ah, droga. É uma MATILHA de lobos!","Maybe if I cut out your tongue, you won't be so... <LF>Oh, crap. It IS a pack of wolves!","Si te corto la lengua, no serás tan... ¡Joder! ¡Una manada de lobos!"
,"no text","no text"
"Bem, com esse são dez. Melhor levar isso de volta ao cliente.","Well, that makes ten. Better take these back to the client.",
"(Aqui, seus malditos sarnentos! Essa matilha virou história hoje!)","(Over here, you mangy curs! Your entire pack is history today!)","(¡Venid aquí, chuchos sarnosos! ¡Despedíos de este mundo!)."
"Estamos muito atrasados! Vamos, temos que evitar que ele seja morto!","We're too late! Come on, we have to keep him from getting killed!",
"Não há corpo para ser encontrado.","There is no body to be found.",
"O que está acontecendo aqui?","What's going on here?",
"Ela deve ter sido carregada pelas areias. ... Ou pelos lobos.","She must have been carried off by the sands. ...Or the wolves.",
"Faz sentido, eu suponho.","Makes sense, I suppose.",
"Ou talvez o homem estivesse enganado o tempo todo.","Or perhaps the man was mistaken all along.",
"De qualquer forma, é melhor voltarmos e contar a ele.","Either way, we better go back and tell him.",
"Por que ela o ignorou assim?","Why did she ignore him like that?",
"Eles não estavam apaixonados?","Weren't they in love?",
"Talvez o raciocínio deles seja mais profundo do que nosso conhecimento da situação.","Perhaps their reasoning runs deeper than our knowledge of the situation.",
"O amor verdadeiro costuma ser cercado de mal-entendidos.","True love is often beset with misunderstandings.",
"Tanto faz. Isso é estúpido.","Whatever. This is stupid.",
"Que dor de cabeça.","What a headache.",
"O que é?","What is?",
"Não temos tempo para nos preocupar com bandidos aleatórios!","We've not the time to worry about random bandits!",
"O templo é muito importante para o Povo Mascarado, sabia?.","The temple is really important to the Masked People, you know.",
"Então talvez eles devessem colocar alguns guardas na entrada!","Then perhaps they should station some guards at the entrance!",
"Provavelmente há uma regra sobre isso. Saco, eles não podem nem entrar no lugar.","There's probably a rule about that. Hell, they can't even go inside the place.",
"E daí minha dor de cabeça.","And thus my headache.",
"Parem de reclamar e começem a se mexer.","Stop bitching and get moving.",
"Ahem. Lembra do que ele disse sobre uma Presa de Javali? É melhor procurarmos uma antes de irmos.","Ahem. Remember what he said about a boar tusk? We had best procure one before we go.","¿Recuerdas lo que dijo sobre un colmillo? Hay que pillar uno antes de partir."
"Olha, você lembra de algo sobre o livro preto ainda?","Look, you remember anything about the black book yet?",
"Mmm, receio que não seja tão simples. ...Coisas dessa importância raramente são.","Mmm, I fear it will not be that simple. ...Things of this import rarely are.",
"Devemos conversar com a Popola.","We should go talk to Popola.",
"Espere... Essa música...","Wait... That song...",
"O ataque da espada deles não é brincadeira!","Their sword attack is not to be trifled with!",
"Mantenha sua distância! Deixe sua magia fazer o trabalho aqui.","Keep your distance! Let your magic do the work here.",
"As criaturas se movem com uma velocidade surpreendente!","The creatures move with surprising speed!",
"Circule ao redor deles e ataque!","Circle around them and attack!",
"Talvez você devesse parar de dar ordens e me ajudar!","Maybe you should stop shoutin' orders and help me out!",
"Eu lhe concedi o poder do Grimório Weiss!","I have granted you the power of Grimoire Weiss!",
"Como eu já sabia que você ia dizer isso?","How did I know you were gonna say that?",
"Fica longe da minha irmã!","Stay away from my sister!","¡Alejaos de mi hermana!"
