"Controles","Pressione {01C280} para atacar e {01C298} para defender.","Controls","Press {01C280} to attack and {01C298} to defend.","Controles","Pulsa {01C280} para atacar y {01C298} para defender."
,"Verificando... não desligue seu PC.",,"Checking... Please don't turn off your console.",,"Comprobando... No apagues la consola."
,"Salvando dados do jogo. Não desligue seu PC.",,"Saving game data. Please don't turn off your console.",,"Guardando datos del juego. No apagues la consola."
,"Carregando dados do jogo. Não desligue seu PC.",,"Loading game data. Please don't turn off your console.",,"Cargando datos del juego. No apagues la consola."
,"Criar novo arquivo salvo?<LF><LF><ALT=-1>Sim</ALT><LF><@ALT=-1>Não</ALT><LF><CANCEL=1>",,"Create a new save file?<LF><LF><ALT=-1>Yes</ALT><LF><@ALT=-1>No</ALT><LF><CANCEL=1>",,"¿Crear nuevo archivo de guardado?<LF><LF><ALT=-1>Sí</ALT><LF><@ALT=-1>No</ALT><LF><CANCEL=1>"
,"Substituir dados salvos anteriormente?<LF><LF><ALT=-1>Sim</ALT><LF><@ALT=-1>Não</ALT><LF><CANCEL=1>",,"Overwrite previously saved game data?<LF><LF><ALT=-1>Yes</ALT><LF><@ALT=-1>No</ALT><LF><CANCEL=1>",,"¿Sobrescribir datos guardados anteriormente?<LF><LF><ALT=-1>Sí</ALT><LF><@ALT=-1>No</ALT><LF><CANCEL=1>"
,"Carregar arquivo selecionado?<LF><LF><ALT=-1>Sim</ALT><LF><ALT=-1>Não</ALT><LF><CANCEL=1>",,"Load the selected file?<LF><LF><ALT=-1>Yes</ALT><LF><ALT=-1>No</ALT><LF><CANCEL=1>",,"¿Cargar archivo seleccionado?<LF><LF><ALT=-1>Sí</ALT><LF><ALT=-1>No</ALT><LF><CANCEL=1>"
,"Operação concluída.",,"Operation complete.",,"Operación completada."
,"Erro!",,"Error!",,"¡Error!"
,"Erro ao salvar dados.",,"Data save failed.",,"Error al guardar los datos."
,"Erro ao carregar dados.",,"Data load failed.",,"Error al cargar los datos."
,"Nenhum dispositivo de armazenamento encontrado.",,"No storage device found.",,"No se ha encontrado ningún dispositivo de almacenamiento."
,"Arquivo não encontrado.",,"File not found.",,"No se ha encontrado ningún archivo."
,"A alocação de memória falhou. A operação não pode ser concluída.",,"Memory allocation failed. Operation cannot be completed.",,"Error al asignar memoria. La operación no puede completarse."
,"Não há espaço suficiente para salvar os dados.",,"Not enough space to save game data.",,"No hay suficiente espacio para guardar los datos."
,"Você não selecionou um perfil de jogador.<LF><LF>Você não poderá salvar o progresso se iniciar o jogo sem selecionar um perfil de jogador.<LF><LF>Continuar sem fazer login?<LF><LF><ALT=-1>Sim</ALT><LF><@ALT=-1>Não</ALT>",,"You have not selected a gamer profile.<LF><LF>You will not be able to save your progress if you start the game without selecting a gamer profile.<LF><LF>Continue without signing in?<LF><LF><ALT=-1>Yes</ALT><LF><@ALT=-1>No</ALT>",,"No has seleccionado un perfil de jugador.<LF><LF>No podrás guardar el progreso si empiezas una partida sin seleccionar un perfil de jugador.<LF><LF>¿Continuar sin iniciar sesión?<LF><LF><ALT=-1>Sí</ALT><LF><@ALT=-1>No</ALT>"
,"O perfil de jogador foi alterado. Voltando para a tela inicial.",,"Gamer profile has changed. Returning to title screen.",,"Se ha cambiado el perfil de jugador. Volviendo a la pantalla de título."
,"Você não selecionou um dispositivo de armazenamento.<LF><LF>Você deve selecionar um dispositivo de armazenamento para salvar seu progresso. Selecionar um agora?<LF><LF><ALT=-1>Sim</ALT><LF><ALT=-1>Não</ALT>",,"You have not selected your storage device.<LF><LF>You must select a storage device to save your progress. Select a storage device now?<LF><LF><ALT=-1>Yes</ALT><LF><ALT=-1>No</ALT>",,"No has seleccionado un dispositivo de almacenamiento.<LF><LF>Tienes que seleccionar un dispositivo de almacenamiento para guardar tu progreso.<LF><LF>¿Seleccionar uno ahora?<LF><LF><ALT=-1>Sí</ALT><LF><ALT=-1>No</ALT>"
,"Não é possível usar o dispositivo de armazenamento selecionado.<LF><LF>Selecionar outro dispositivo de armazenamento?<LF><LF><ALT=-1>Sim</ALT><LF><ALT=-1>Não</ALT><LF><CANCEL=1>",,"Cannot use the selected storage device.<LF><LF>Select another storage device?<LF><LF><ALT=-1>Yes</ALT><LF><ALT=-1>No</ALT><LF><CANCEL=1>",,"El dispositivo de almacenamiento seleccionado no se puede usar.<LF><LF>¿Seleccionar otro?<LF><LF><ALT=-1>Sí</ALT><LF><ALT=-1>No</ALT><LF><CANCEL=1>"
,"Verificando os dados do sistema.",,"Checking system data.",,"Comprobando datos del sistema."
,"Nenhum dado do sistema foi salvo neste dispositivo de armazenamento.<LF><LF>Criar novo arquivo?<LF><LF><ALT=-1>Sim</ALT><LF><ALT=-1>Não</ALT>",,"No system data has been saved to this storage device.<LF><LF>Create a new file?<LF><LF><ALT=-1>Yes</ALT><LF><ALT=-1>No</ALT>",,"No se han guardado datos del sistema en este dispositivo de almacenamiento.<LF><LF>¿Crear archivo nuevo?<LF><LF><ALT=-1>Sí</ALT><LF><ALT=-1>No</ALT>"
,"Criando dados do sistema. Não desligue seu PC.",,"Creating system data. Please don't turn off your console.",,"Creando datos del sistema. No apagues la consola."
,"Dados do sistema salvos.",,"System data saved.",,"Datos del sistema guardados."
,"Definir nome como <NIER>?<LF><LF><ALT=-1>Sim</ALT><LF><@ALT=-1>Não</ALT>",,"Set your name as <NIER>?<LF><LF><ALT=-1>Yes</ALT><LF><@ALT=-1>No</ALT>",,"¿Confirmar el nombre <NIER>?<LF><LF><ALT=-1>Sí</ALT><LF><@ALT=-1>No</ALT>"
,"Carregando dados do sistema. Não desligue seu PC.",,"Loading system data. Please don't turn off your console.",,"Cargando datos del sistema. No apagues la consola."
,"Dados do sistema carregados.",,"System data loaded.",,"Datos del sistema cargados."
,"Selecionar um dispositivo de armazenamento para salvar e carregar dados?",,"Select a storage device for saving and loading data?",,"¿Seleccionar un dispositivo de almacenamiento para guardar y cargar los datos?"
,"Selecionar um dispositivo de armazenamento para salvar dados?",,"Select a storage device for save data?",,"¿Seleccionar un dispositivo de almacenamiento para guardar los datos?"
,"Concluído.",,"Complete.",,"Acción completada."
,"O dispositivo de armazenamento especificado não está conectado. Selecione um dispositivo de armazenamento.",,"The storage device you specified is not connected. Select a storage device.",,"El dispositivo de almacenamiento especificado no está conectado.<LF>Selecciona un dispositivo de almacenamiento."
,"Não há espaço suficiente no dispositivo de armazenamento especificado.",,"Not enough space on specified storage device.",,"No hay espacio suficiente en el dispositivo de almacenamiento especificado."
,"Nenhum dispositivo de armazenamento de referência especificado. Deseja especificar um?",,"Referenced storage device not specified. Specify a storage device?",,"No hay dispositivo de almacenamiento de referencia especificado. ¿Quieres especificar uno?"
,"Salvar seu progresso até este ponto?",,"Save your progress up to this point?",,"¿Quieres guardar tu progreso hasta este punto?"
,"O dispositivo de armazenamento especificado não está conectado. Selecione um dispositivo de armazenamento.",,"The storage device you specified is not connected. Select a storage device.",,"El dispositivo de almacenamiento especificado no está conectado.<LF>Selecciona un dispositivo de almacenamiento."
,"O arquivo está corrompido ou não pode ser lido. Para continuar jogando,<LF>exclua este arquivo e salve um novo.<LF>Salvar novo arquivo?<LF><LF><ALT=-1>Sim</ALT><LF><@ALT=-1>Não</ALT>",,"This file is corrupted or cannot be read. To continue play,<LF>you must delete this file and save a new file.<LF>Save a new file?<LF><LF><ALT=-1>Yes</ALT><LF><@ALT=-1>No</ALT>",,"El archivo está dañado o no se puede leer. Para seguir jugando,<LF>borra este archivo y guarda uno nuevo.<LF>¿Guardar archivo nuevo?<LF><LF><ALT=-1>Sí</ALT><LF><@ALT=-1>No</ALT>"
,"Não foi possível encontrar um dispositivo de armazenamento para salvar o progresso. Verifique seu dispositivo de armazenamento e tente novamente.",,"Cannot find a storage device to save on. Check your storage device and try again.",,"No se encuentra un dispositivo de almacenamiento en el que guardar el progreso.<LF>Revisa tu dispositivo de almacenamiento e inténtalo de nuevo."
,"Selecione um dispositivo de armazenamento primeiro.",,"Select a storage device first.",,"Selecciona un dispositivo de almacenamiento primero."
,"Falha ao carregar.",,"Load failed.",,"Error al cargar."
,"Este arquivo não pode ser lido. Para continuar o jogo, exclua este arquivo e salve um novo. Salvar novo arquivo?<LF><LF><ALT=-1>Sim</ALT><LF><@ALT=-1>Não</ALT>",,"This file cannot be read. To continue play, you must delete this file and save a new file. Save a new file?<LF><LF><ALT=-1>Yes</ALT><LF><@ALT=-1>No</ALT>",,"El archivo no se puede leer. Para seguir jugando, borra este archivo y guarda uno nuevo.<LF>¿Guardar archivo nuevo?<LF><LF><ALT=-1>Sí</ALT><LF><@ALT=-1>No</ALT>"
,"O progresso não salvo será perdido. Continuar mesmo assim?<LF><LF><ALT=-1>Sim</ALT><LF><@ALT=-1>Não</ALT>",,"Any unsaved progress will be lost. Continue anyway?<LF><LF><ALT=-1>Yes</ALT><LF><@ALT=-1>No</ALT>",,"El progreso no guardado se perderá. ¿Continuar de todos modos?<LF><LF><ALT=-1>Sí</ALT><LF><@ALT=-1>No</ALT>"
,"Nome inválido. Insira outro.",,"Invalid name. Please enter another name.",,"El nombre no es válido. Por favor, introduce otro."
,"Você não pode carregar mais unidades deste item.",,"You cannot carry any more of this item.",,"No puedes llevar más unidades de este objeto."
,"Insira outro nome.",,"Please enter another name.",,"Introduce otro nombre."
,"Salvando as configurações...",,"Saving settings...",,"Guardando ajustes..."
,"Se você carregar um jogo salvo anteriormente, seu progresso atual será perdido.<LF>Tem certeza?<LF><LF><ALT=-1>Sim</ALT><LF><@ALT=-1>Não</ALT>",,"If you load a previously-saved game, your current progress will be lost.<LF>Are you sure?<LF><LF><ALT=-1>Yes</ALT><LF><@ALT=-1>No</ALT>",,"Si cargas una partida guardada anteriormente, perderás el progreso actual.<LF>¿Quieres continuar?<LF><LF><ALT=-1>Sí</ALT><LF><@ALT=-1>No</ALT>"
,"Infelizmente, esse nome não pode ser usado.",,"Unfortunately, that name cannot be used.",,"Lo sentimos, ese nombre no se puede usar."
,"Os dados estão corrompidos e não podem ser carregados.",,"The data is corrupt and can't be loaded.",,"Los datos están dañados y no se pueden cargar."
,"Salvar seu progresso até este ponto?<LF><LF><ALT=-1,<CB=LIB_SaveAsks_Yes>>Sim</ALT><LF><ALT=-1,<CB=LIB_SaveAsks_No>>Não</ALT>",,"Save your progress up to this point?<LF><LF><ALT=-1,<CB=LIB_SaveAsks_Yes>>Yes</ALT><LF><ALT=-1,<CB=LIB_SaveAsks_No>>No</ALT>",,"¿Quieres guardar tu progreso hasta este punto?<LF><LF><ALT=-1,<CB=LIB_SaveAsks_Yes>>Sí</ALT><LF><ALT=-1,<CB=LIB_SaveAsks_No>>No</ALT>"
,"Você não pode salvar seu progresso a partir deste ponto.<LF>Continuar mesmo assim?<LF><LF><ALT=-1>Sim</ALT><LF><@ALT=-1>Não</ALT><LF><CANCEL=1>",,"You cannot save beyond this point.<LF>Continue anyway?<LF><LF><ALT=-1>Yes</ALT><LF><@ALT=-1>No</ALT><LF><CANCEL=1>",,"No podrás guardar tu progreso a partir de este punto.<LF>¿Continuar de todos modos?<LF><LF><ALT=-1>Sí</ALT><LF><@ALT=-1>No</ALT><LF><CANCEL=1>"
,"Falha ao ler o arquivo.<LF>Voltando para a tela inicial.",,"Failed to read file.<LF>Returning to the title screen.",,"Error al leer el archivo.<LF>Volviendo a la pantalla de título."
,"Os dados do sistema estão corrompidos.<LF>Deseja substituí-los?<LF><LF><ALT=-1>Sim</ALT><LF><@ALT=-1>Não</ALT>",,"System data is corrupt.<LF>Do you want to overwrite it?<LF><LF><ALT=-1>Yes</ALT><LF><@ALT=-1>No</ALT>",,"Los datos del sistema están dañados.<LF>¿Quieres sobrescribirlos?<LF><LF><ALT=-1>Sí</ALT><LF><@ALT=-1>No</ALT>"
,"Excluindo dados do jogo. Não desligue seu PC.",,"Erasing game data. Please don't turn off your console.",,"Borrando datos del juego. No apagues la consola."
,"Salvando...",,"Saving...",,"Guardando..."
,"Verificando conteúdo para download.",,"Checking downloadable content.",,"Comprobando contenido descargable."
,"Substituir dados do sistema salvos anteriormente?<LF><LF><ALT=-1>Sim</ALT><LF><@ALT=-1>Não</ALT>",,"Overwrite previously-saved system data?<LF><LF><ALT=-1>Yes</ALT><LF><@ALT=-1>No</ALT>",,"¿Sobrescribir datos de sistema guardados previamente?<LF><LF><ALT=-1>Sí</ALT><LF><@ALT=-1>No</ALT>"
,"Falha ao salvar.",,"Save failed.",,"Error al guardar."
,"Sair da tela de salvar ou excluir dados?<LF><LF><ALT=-1,<CB=EID_7000_a0020_SAVE_SEQUENCE_YES>>Sim</ALT><LF><ALT=-1,<CB=EID_7000_a0020_SAVE_SEQUENCE_RETRY>>Não</ALT>",,"Exit the clear-data save screen?<LF><LF><ALT=-1,<CB=EID_7000_a0020_SAVE_SEQUENCE_YES>>Yes</ALT><LF><ALT=-1,<CB=EID_7000_a0020_SAVE_SEQUENCE_RETRY>>No</ALT>",,"¿Salir de la pantalla de guardado o borrado de datos?<LF><LF><ALT=-1,<CB=EID_7000_a0020_SAVE_SEQUENCE_YES>>Sí</ALT><LF><ALT=-1,<CB=EID_7000_a0020_SAVE_SEQUENCE_RETRY>>No</ALT>"
,"Erro ao salvar dados. Você precisa fazer login para poder salvar os dados do jogo.",,"Cannot save. You must be signed in in order to save game data.",,"Error al guardar datos. Tienes que iniciar sesión para poder guardar datos del juego."
,"Erro ao carregar dados. Você precisa fazer login para carregar os dados do jogo.",,"Cannot load. You must be signed in in order to load game data.",,"Error al cargar datos. Tienes que iniciar sesión para poder cargar datos del juego."
,"Sair da tela de salvar ou excluir dados?<LF><LF><ALT=-1,<CB=EID_8000_a0030_SAVE_SEQUENCE_YES>>Sim</ALT><LF><ALT=-1,<CB=EID_8000_a0030_SAVE_SEQUENCE_RETRY>>Não</ALT>",,"Exit the clear-data save screen?<LF><LF><ALT=-1,<CB=EID_8000_a0030_SAVE_SEQUENCE_YES>>Yes</ALT><LF><ALT=-1,<CB=EID_8000_a0030_SAVE_SEQUENCE_RETRY>>No</ALT>",,"¿Salir de la pantalla de guardado o borrado de datos?<LF><LF><ALT=-1,<CB=EID_8000_a0030_SAVE_SEQUENCE_YES>>Sí</ALT><LF><ALT=-1,<CB=EID_8000_a0030_SAVE_SEQUENCE_RETRY>>No</ALT>"
,"Sair da tela de salvar ou excluir dados?<LF><LF><ALT=-1,<CB=EID_9100_a0010_SAVE_SEQUENCE_YES>>Sim</ALT><LF><ALT=-1,<CB=EID_9100_a0010_SAVE_SEQUENCE_RETRY>>Não</ALT>",,"Exit the clear-data save screen?<LF><LF><ALT=-1,<CB=EID_9100_a0010_SAVE_SEQUENCE_YES>>Yes</ALT><LF><ALT=-1,<CB=EID_9100_a0010_SAVE_SEQUENCE_RETRY>>No</ALT>",,"¿Salir de la pantalla de guardado o borrado de datos?<LF><LF><ALT=-1,<CB=EID_9100_a0010_SAVE_SEQUENCE_YES>>Sí</ALT><LF><ALT=-1,<CB=EID_9100_a0010_SAVE_SEQUENCE_RETRY>>No</ALT>"
,"Deseja instalar os dados do jogo em uma unidade de disco rígido (HDD)?<LF><LF><ALT=-1>Sim</ALT><LF><@ALT=-1>Não</ALT>",,"Would you like to install game data to the Hard Disk Drive (HDD)?<LF><LF><ALT=-1>Yes</ALT><LF><@ALT=-1>No</ALT>",,"¿Quieres instalar datos del juego en una unidad de disco duro (HDD)?<LF><LF><ALT=-1>Sí</ALT><LF><@ALT=-1>No</ALT>"
,"Pronto para começar a instalação.<LF>Por favor, não desligue a energia ou selecione ""Sair do Jogo"" durante o processo de instalação.",,"Ready to begin installation.<LF>Please do not turn off the power or select ""Quit Game"" during the installation process. ",,"Todo listo para iniciar la instalación.<LF>No apagues la corriente ni selecciones ""salir de la partida"" durante el proceso de instalación. "
,"Instalação concluída.",,"Installation complete.",,"Instalación completada."
,"Instalação falhou.",,"Installation failed.",,"Error de instalación."
,"Não há espaço livre suficiente no disco rígido para instalar dados do jogo.<LF>Para prosseguir com a instalação, você precisa de pelo menos <NUM> MB de espaço.<LF>Saia do jogo e ajuste a quantidade de espaço em disco rígido disponível.",,"Not enough free space on the hard disk to install game data.<LF>Installation requires at least another <NUM>MB of space to proceed.<LF>Please exit the game and adjust the amount of available hard disk space.",,"No hay suficiente espacio libre en el disco duro para instalar datos del juego.<LF>Para proceder con la instalación, necesitas al menos <NUM> MB de espacio.<LF>Sal del juego y ajusta la cantidad de espacio disponible en el disco duro."
,"Os dados do jogo podem estar corrompidos. Saia do jogo,<LF>em seguida, exclua ou reinstale os dados do jogo.",,"Game data may be corrupted. Please exit the game, <LF>then delete or re-install the game data. ",,"Puede que los datos del juego estén dañados.<LF>Sal del juego y borra o vuelve a instalar los datos del juego. "
,"Sua conta de rede PlayStation™ não atende aos requisitos de idade para este jogo.<LF>O serviço online não pode ser usado.",,"Your PlayStation™Network account does not meet the age requirements for this title. <LF>The online service cannot be used.",,"Tu cuenta de PlayStation™Network no cumple con los requisitos de edad para jugar a este juego. <LF>No puedes utilizar los servicios online."
,"Nenhum conteúdo para download está disponível no momento.",,"No downloadable content is available at this time.",,"No hay contenido descargable disponible ahora mismo."
,"Deseja reinstalar os dados do jogo<LF>em um disco rígido?<LF><LF><ALT=-1>Sim</ALT><LF><@ALT=-1>Não</ALT>",,"Would you like to re-install game data <LF>to the hard disk?<LF><LF><ALT=-1>Yes</ALT><LF><@ALT=-1>No</ALT>",,"¿Quieres volver a instalar los datos del juego en un disco duro?<LF><LF><ALT=-1>Sí</ALT><LF><@ALT=-1>No</ALT>"
,"Comece o jogo sem instalar.",,"Begin game without installing.",,"Iniciar juego sin instalar."
,"Excluindo a memória 1 ...",,"Deleting Memory 1...",,"Borrando recuerdo 1..."
,"Excluindo a memória 2 ...",,"Deleting Memory 2...",,"Borrando recuerdo 2..."
,"Excluindo a memória 3 ...",,"Deleting Memory 3...",,"Borrando recuerdo 3..."
,"Excluído.",,"Deleted.",,"Borrado."
,"Os dados salvos de outro usuário foram carregados.<LF>Desta forma, você não pode salvar jogos ou obter conquistas.",,"Save data from another user has been loaded. <LF>In this state, you will not be able to save games or obtain trophies.",,"Se han cargado los datos guardados de otro usuario.<LF>De esta forma, no puedes guardar partidas ni obtener trofeos."
,"Os dados salvos de outro usuário foram carregados.<LF>Você não pode salvar jogos.",,"Save data from another user has been loaded. <LF>You cannot save games.",,"Se han cargado los datos guardados de otro usuario.<LF>No puedes guardar partidas."
,"Seu nome deve conter pelo menos um caractere.",,"Your name must contain at least one character.",,"Tu nombre debe contener al menos un carácter."
,"Este nome contém caracteres não suportados e será exibido como <NIER>.<LF>Confirmar nome como <NIER>?<LF><LF><ALT=-1>Sim</ALT><LF><@ALT=-1>Não</ALT>",,"This name contains unsupported characters and will display as <NIER>.<LF>Set your name as <NIER>?<LF><LF><ALT=-1>Yes</ALT><LF><@ALT=-1>No</ALT>",,"Este nombre contiene caracteres incompatibles y se mostrará como <NIER>.<LF>¿Confirmar el nombre <NIER>?<LF><LF><ALT=-1>Sí</ALT><LF><@ALT=-1>No</ALT>"
,"Retornar à tela inicial?<LF><LF><ALT=-1>Sim</ALT><LF><@ALT=-1>Não</ALT>",,"Return to the title screen?<LF><LF><ALT=-1>Yes</ALT><LF><@ALT=-1>No</ALT>",,"¿Quieres volver a la pantalla de título?<LF><LF><ALT=-1>Sí</ALT><LF><@ALT=-1>No</ALT>"
,"Você terminou de salvar os dados?<LF><LF><ALT=-1>Sim</ALT><LF><@ALT=-1>Não</ALT>",,"Finish saving data?<LF><LF><ALT=-1>Yes</ALT><LF><@ALT=-1>No</ALT>",,"¿Has terminado de guardar los datos?<LF><LF><ALT=-1>Sí</ALT><LF><@ALT=-1>No</ALT>"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"Forjar Armas","Power-up completo!","Forging Weapons","Power-up complete!","Forjar armas","¡Potenciación completada!"
,"Viajar para ""<TEXT>""?<LF><LF><@ALT=-1>Sim</ALT><LF><ALT=-1>Não</ALT><LF><CANCEL=1>",,"Travel to ""<TEXT>""?<LF><LF><@ALT=-1>Yes</ALT><LF><ALT=-1>No</ALT><LF><CANCEL=1>",,"¿Viajar a ""<TEXT>""?<LF><LF><@ALT=-1>Sí</ALT><LF><ALT=-1>No</ALT><LF><CANCEL=1>"
,"Configurações salvas.",,"Settings saved.",,"Ajustes guardados."
,"Sair sem salvar suas opções?<LF><LF><ALT=-1>Sim</ALT><LF><@ALT=-1>Não</ALT><LF><CANCEL=1>",,"Exit without saving your options?<LF><LF><ALT=-1>Yes</ALT><LF><@ALT=-1>No</ALT><LF><CANCEL=1>",,"¿Salir sin guardar tus opciones?<LF><LF><ALT=-1>Sí</ALT><LF><@ALT=-1>No</ALT><LF><CANCEL=1>"
,"O progresso não salvo será perdido.<LF><LF>Sair do jogo e retornar à tela inicial?<LF><LF><ALT=-1>Sim</ALT><LF><@ALT=-1>Não</ALT><LF><CANCEL=1>",,"You will lose any unsaved progress.<LF><LF>Quit the game and return to the title screen?<LF><LF><ALT=-1>Yes</ALT><LF><@ALT=-1>No</ALT><LF><CANCEL=1>",,"El progreso no guardado se perderá.<LF><LF>¿Salir del juego y volver a la pantalla de título?<LF><LF><ALT=-1>Sí</ALT><LF><@ALT=-1>No</ALT><LF><CANCEL=1>"
,"Salvar as configurações atuais e começar o jogo?<LF><LF><ALT=-1>Sim</ALT><LF><ALT=-1>Não</ALT>",,"Save the current settings and begin the game?<LF><LF><ALT=-1>Yes</ALT><LF><ALT=-1>No</ALT>",,"¿Guardar estos ajustes y empezar partida?<LF><LF><ALT=-1>Sí</ALT><LF><ALT=-1>No</ALT>"
,"Restaurar todas as configurações padrão?<LF><LF><ALT=-1>Sim</ALT><LF><@ALT=-1>Não</ALT><LF><CANCEL=1>",,"Restore all settings to the default configuration?<LF><LF><ALT=-1>Yes</ALT><LF><@ALT=-1>No</ALT><LF><CANCEL=1>",,"¿Restablecer todos los ajustes predeterminados?<LF><LF><ALT=-1>Sí</ALT><LF><@ALT=-1>No</ALT><LF><CANCEL=1>"
,"Salvar as configurações atuais?<LF><LF><ALT=-1>Sim</ALT><LF><@ALT=-1>Não</ALT>",,"Save the current settings?<LF><LF><ALT=-1>Yes</ALT><LF><@ALT=-1>No</ALT>",,"¿Guardar estos ajustes?<LF><LF><ALT=-1>Sí</ALT><LF><@ALT=-1>No</ALT>"
,"O progresso não salvo será perdido. Continuar?<LF><LF><ALT=-1>Sim</ALT><LF><@ALT=-1>Não</ALT>",,"Any unsaved progress will be lost. Continue?<LF><LF><ALT=-1>Yes</ALT><LF><@ALT=-1>No</ALT>",,"El progreso no guardado se perderá. ¿Continuar?<LF><LF><ALT=-1>Sí</ALT><LF><@ALT=-1>No</ALT>"
,"Você ouve uma fechadura sendo abertura!",,"You hear the sound of a lock opening!",,"¡Oyes el sonido de una cerradura abriéndose!"
,"Nada aconteceu.",,"Nothing happened.",,"No ha pasado nada."
,,,,,
,,,,,
,"Ativar modo de batalha automática?<LF><LF><ALT=-1>Sim</ALT><LF><@ALT=-1>Não</ALT>",,"Enable auto-battle mode?<LF><LF><ALT=-1>Yes</ALT><LF><@ALT=-1>No</ALT>",,"¿Activar modo de combate automático?<LF><LF><ALT=-1>Sí</ALT><LF><@ALT=-1>No</ALT>"
,"O modo de batalha automática pode ser usado ao jogar na dificuldade fácil.<LF>Ativar modo de batalha automática?<LF><LF><ALT=-1>Sim</ALT><LF><@ALT=-1>Não</ALT>",,"Auto-battle mode can be used when playing on Easy difficulty.<LF>Enable auto-battle mode?<LF><LF><ALT=-1>Yes</ALT><LF><@ALT=-1>No</ALT>",,"Puedes usar el modo de combate automático al jugar en dificultad fácil.<LF>¿Activar modo de combate automático?<LF><LF><ALT=-1>Sí</ALT><LF><@ALT=-1>No</ALT>"
,"O modo de batalha automática só pode ser usado ao jogar na dificuldade fácil.<LF>Você pode alterar o nível de dificuldade no menu de Opções na tela inicial.",,"Auto-battle mode can only be used when playing on Easy difficulty.<LF>The difficulty level can be changed via the Options menu on the title screen.",,"Solo puedes usar el modo de combate automático al jugar en dificultad fácil.<LF>Puedes cambiar el nivel de dificultad desde el menú de configuración de la pantalla de título."
,"Agora você pode ler ""Diário de uma Mãe que Partiu"" em sua casa.",,"You can now read ""A Departed Mother's Diary"" in your house.",,"Ahora puedes leer ""Diario misterioso de una madre fallecida"" en la casa del protagonista."
,"""Guarda-roupa"" foi adicionado ao menu de opções.<LF>Novos trajes podem ser obtidos à medida que você avança no ""Diário de uma Mãe que Partiu"".",,"""Wardrobe"" has been added to the Options menu.<LF>New outfits can be obtained by progressing through ""A Departed Mother's Diary.""",,"Se ha añadido ""Trajes"" al menú de configuración.<LF>Puedes conseguir trajes a medida que avances en ""Diario misterioso de una madre fallecida""."
,"""Trocar Música"" foi adicionado à seção Configurações do Jogo do menu de Opções.",,"""Change Music"" has been added to the Game Settings section of the Options menu.",,"Se ha añadido ""Cambiar música"" a la sección Ajustes generales del menú de configuración."
,"""Uma Despedida Cordial"" foi adicionada ao menu de Opções.",,"""A Parting Greeting"" has been added to the Options menu.",,"Se ha añadido ""Un saludo de despedida"" al menú de configuración."
,"<WORD_EDIT><LF>Aplicar essas palavras a todas as armas?<LF><LF><ALT=-1>Sim</ALT><LF><@ALT=-1>Não</ALT>",,"<WORD_EDIT><LF>Apply these words to all weapons?<LF><LF><ALT=-1>Yes</ALT><LF><@ALT=-1>No</ALT>",,"<WORD_EDIT><LF>¿Aplicar estas palabras a todas las armas?<LF><LF><ALT=-1>Sí</ALT><LF><@ALT=-1>No</ALT>"
,"<WORD_EDIT><LF>Aplicar essas palavras a todas as magias?<LF><LF><ALT=-1>Sim</ALT><LF><@ALT=-1>Não</ALT>",,"<WORD_EDIT><LF>Apply these words to all magic?<LF><LF><ALT=-1>Yes</ALT><LF><@ALT=-1>No</ALT>",,"<WORD_EDIT><LF>¿Aplicar estas palabras a toda la magia?<LF><LF><ALT=-1>Sí</ALT><LF><@ALT=-1>No</ALT>"
,"<WORD_EDIT><LF>Aplicar essas palavras a todas as artes marciais?<LF><LF><ALT=-1>Sim</ALT><LF><@ALT=-1>Não</ALT>",,"<WORD_EDIT><LF>Apply these words to all martial arts?<LF><LF><ALT=-1>Yes</ALT><LF><@ALT=-1>No</ALT>",,"<WORD_EDIT><LF>¿Aplicar estas palabras a todas las artes marciales?<LF><LF><ALT=-1>Sí</ALT><LF><@ALT=-1>No</ALT>"
,"Salvar as configurações atuais?<LF><LF><ALT=-1>Sim</ALT><LF><@ALT=-1>Não</ALT>",,"Save the current settings?<LF><LF><ALT=-1>Yes</ALT><LF><@ALT=-1>No</ALT>",,"¿Guardar estos ajustes?<LF><LF><ALT=-1>Sí</ALT><LF><@ALT=-1>No</ALT>"
,"Restaurar todas as configurações padrão?<LF><LF><ALT>Sim</ALT><LF><ALT>Não</ALT>",,"Restore all settings to the default configuration?<LF><LF><ALT>Yes</ALT><LF><ALT>No</ALT>",,"¿Restablecer todos los ajustes predeterminados?<LF><LF><ALT>Sí</ALT><LF><ALT>No</ALT>"
,"Essa configuração não pode ser salva devido a alguma sobreposição de controle.",,"This configuration cannot be saved as some controls overlap.",,"No puedes guardar esta configuración debido a la coincidencia de algunos controles."
,"Selecione o comando que deseja atribuir.",,"Select a command to assign.",,"Selecciona el comando que quieras asignar."
