"Salvar?","Save?","¿Guardar?"
"Querido <NIER>,<LF><LF>Hoje foi incrível! Popola fez um bolo ENORME e delicioso pra mim e todos na vila me desejaram um feliz aniversário. Foi divertido! Parece que sou uma princesa ou algo assim.<LF><LF>E eu não me sinto mal hoje. Na verdade, quase esqueci que tenho essa doença!<LF>Por que você não esquece isso também e volta para casa?<LF><LF>Yonah","Dear <NIER>,<LF><LF>Today was awesome! Popola made me this HUGE cake that was really yummy, and everyone in the village has been wishing me happy birthday. It's fun! I feel like a princess or something.<LF><LF>I don't feel sick at all today. In fact, I almost forgot I had this disease!<LF>So maybe you can forget about it too and come back home now? <LF><LF>Yonah","Querido <NIER>:<LF><LF>¡Hoy me lo he pasado genial!<LF>Popola me ha hecho un pastel enorme y riquísimo,<LF>y la gente del pueblo me ha felicitado el cumpleaños.<LF>¡Es muy guay! Parece que soy una princesa o algo así.<LF><LF>Encima, hoy no me siento mal.<LF>¡Casi ni me he acordado de la enfermedad!<LF>¿Por qué no la olvidas tú también y vuelves a casa?<LF><LF>Yonah"
"Minha Querida Amada,<LF><LF>Por favor, perdoe-me por demorar tanto para lhe escrever. Recentemente adoeci e foi difícil encontrar um médico nessa terra estrangeira.<LF>As pessoas aqui, no entanto, me trataram muito bem<LF>e me sinto melhor a cada dia.<LF>Se eu continuar melhorando, espero retornar para casa em breve.<LF><LF>Penso em você todos os dias e não vejo a hora de estarmos juntos novamente. Por favor, cuide-se e saiba que estou fazendo tudo o que posso para voltar para você.","My dearest beloved,<LF><LF>Please forgive the lateness of this letter. I have recently fallen quite ill,<LF>and had some difficulty finding a doctor in this foreign land.<LF>The people here, however, have treated me with great kindness,<LF>and I now feel my body getting stronger by the day.<LF>If my recovery continues, I hope to attempt the journey home soon. <LF><LF>I think about you every day, and yearn for the moment when we can be together again. Please take care of yourself, and know that I am doing everything I can to return to you.","Hola, amor mío:<LF><LF>Por favor, perdóname por tardar tanto en escribirte.<LF>Hace poco que he enfermado y estoy teniendo problemas<LF>para encontrar a un médico en estas tierras desconocidas.<LF>La gente me ha tratado muy bien, eso sí, y poco a poco<LF>empiezo a sentirme mejor. Si sigo recuperándome bien,<LF>espero poder volver pronto a casa.<LF><LF>Pienso en ti todos los días<LF>y deseo con todas mis fuerzas que volvamos a estar juntos.<LF>Cuídate mucho, te lo pido por favor, y que sepas que<LF>hago lo posible por ponerme en contacto contigo."
"Meu amor,<LF><LF>Novamente ponho o que sinto no papel, mas tudo que eu queria era te ver mais uma vez. Como vão os seus dias? Estou indo bem, dentro do possível. Minha doença é teimosa, mas meu amor por você é mais forte! Saber que você está me esperando me faz perseverar.<LF><LF>Sei que a solidão está apertando, mas repito: não me procure. A viagem é perigosa e há doenças por toda parte. Se algo acontecesse com você, temo que eu não suportaria. <LF><LF>Meu amor. Meu tesouro. Voltarei logo pra você.","My dearest beloved,<LF><LF>Again I put pen to paper when all I desire is to see you with my own eyes. How do the days find you? I am faring well enough. My illness is stubborn, but my love for you is stronger! Just knowing that you wait for me is enough to keep me going. <LF><LF>I know how lonely you must be, but I must say this again: Do not attempt to find me. The voyage is treacherous, and disease runs rampant in this land. If anything were to happen to you, I fear I would not be able to take it. <LF><LF>My love. My dearest love. I will return to you soon.","Hola, amor mío:<LF><LF>Me dispongo a escribirte de nuevo cuando lo único que quiero es volver a verte con mis propios ojos. ¿Cómo estás últimamente? Yo voy bien, dentro de lo que cabe. La enfermedad es fuerte, ¡pero mi amor por ti lo es más!<LF><LF>Me imagino que la soledad tiene que estar pasándote factura, pero te lo repito: no intentes venir a buscarme, el viaje es peligroso y hay enfermedades por doquier en estas tierras. Si te pasara algo, me temo que no podría soportarlo.<LF><LF>Mi amor, mi tesoro, pronto volveré contigo."
"Minha Querida Amada,<LF><LF>Faz cinquenta anos desde a última vez que pus meus olhos em você. Como isso é possível? Quando nos encontrarmos novamente, espero que você possa ignorar minhas rugas e ver dentro de mim o jovem que você conheceu.<LF><LF>Todo esse tempo me fez pensar no passado. Quando nos conhecemos, você era a garota mais bonita da vila. Sua beleza foi o que me atraiu, mas foi seu coração gentil que me cativou.<LF>Me alegra ler suas cartas, pois vejo que seu espírito continua<LF>maravilhoso como sempre. <LF><LF>Agradeço aos deuses todos os dias por termos nos apaixonado, embora os amaldiçoe por nos separarem. Voltaremos a nos ver. Me espere, meu amor.","My dearest beloved,<LF><LF>Fifty years have passed since I last gazed upon your face. How is it possible? When next we meet, I hope you can look past the wrinkles of an old man and see into a soul as young as the day we first met.<LF><LF>This passage of time has led me to think upon our earlier days. When we first met, you were the prettiest girl in town. Your beauty was what first attracted me to you, but it was your kind heart which ensnared my soul.<LF>It gladdens me to read your letters, for I can see in them that your spirit<LF>is as wonderful as ever. <LF><LF>I thank the gods each day that we fell in love, even as I curse them for keeping us apart. I will see you again. Wait for me, my love.","Hola, amor mío:<LF><LF>Ya han pasado cincuenta años desde que te vi por última vez. Cuando nos encontremos de nuevo, espero que puedas dejar a un lado mis arrugas y veas en mi interior al joven que un día conociste.<LF><LF>Todo este tiempo me ha hecho pensar en el pasado: eras la chica más preciosa de la aldea, y eso me llamó la atención en primer lugar, pero tu corazón terminó de cautivarme. Me alegra leer tus cartas, ya que compruebo que tu espíritu sigue como siempre.<LF><LF>Doy gracias a los dioses todos los días por habernos enamorado, aunque los maldigo por separarnos. Nos volveremos a ver, espérame, amor mío."
"Querida Popola,<LF><LF>Espero que esteja indo tudo bem.<LF><LF>Escrevo na esperança de que você possa me ajudar com alguns sonhos, assuntos que ocorreram recentemente na vila dos sonhos. Espero que você possa, sonhar, me aconselhar sobre o assunto.<LF><LF>Recentemente houve relatos de sonhos, sonho, sonho, de um certo sonho, sonho, sonho, sonho, sonho, sonho, sonho, sonho mau, sonho, sonho vazio, sonho, sonho, sonho, sonho, sonho, sonho mau, sonho, sonho, sonho, sonho, palavras, sonho, sonho, sonho, sonho, sonho, sonho, sonho, sonho, sonho, sonho, sonho, sonho, sonho, sonho, sonho, sonho, sonho, sonho, sonho, sonho, sonho, sonho, sonho, sonho, alguém, sonho, sonho, sonho, sonho, sonho","Dearest Popola,<LF><LF>I hope this letter finds you well.<LF><LF>I am writing in hopes of bringing to your attention a certain dream issue of concern regarding recent events in dream the village. I was hoping I might be dream able to get your advice dream on the matter.<LF><LF>Recently there have been dream reports dream dream of a certain dream dream dream dream of dream dream dream dream evil dream dream dream dream empty dream curse dream dream dream dream dream evil dream dream dream dream dream dream dream dream words dream dream dream and dreamdreamdreamdreamdreamdream someone dreamdreamdreamdreamdream","Querida Popola:<LF><LF>Espero que todo vaya bien.<LF><LF>Te escribo con la esperanza de que puedas ayudarme con unos asuntos que han tenido lugar sueño en la aldea. Esperaba que pudieras proporcionarme sueños al respecto.<LF><LF>La gente ha comentado sueños que un sueño de sueño maldito sueño sueño sueño sueño sueño sueño sueño vacío sueño sueño sueño sueño sueño sueño sueño sueño sueño sueño sueño sueño maldición sueño sueño sueño sueño sueño sueño sueño sueño sueño sueño sueño sueño sueño y sueñosueñosueñosueñosueñosueñosueñosueñosueñosueñosueñosueño sueño alguien sueñosueñosueñosueñosueñosueñosueño"
"Querido <NIER>,<LF><LF>Sei que não nos falamos há algum tempo e lamento ter que implorar por sua ajuda, mas estou desesperado. <LF><LF> Tenho uma carta importante para a senhora do farol, mas estou com problemas na perna que me impedem de entregá-la.<LF> Já pedi ajuda aos carteiros de outras aldeias, mas todos dizem que estão muito ocupados. (Pessoalmente, acho que eles têm medo da velha, e não os culpo!)<LF><LF>Você é a única pessoa que conheço com coragem de chegar até ela. Você poderia vir e me ajudar? Isso significaria o mundo para mim.","Dear <NIER>,<LF><LF>I know we haven't spoken in a while, and I'm sorry that my first communication is a plea for help, but I'm at my wit's end here.<LF><LF>I have an important letter that must be delivered to the woman in the lighthouse, but the issues with my leg prevent me from bringing it to her.<LF>I have asked my fellow postmen from other towns to help me, but they all claim to be too busy. (Personally, I think they're all just scared of the woman...and I suppose I can't blame them!)<LF><LF>You are the only person I can think of who can stand up to her. Will you please come and help me? It would mean more than you can know.","Querido <NIER>:<LF><LF>Sé que llevamos tiempo sin hablar y siento tener que hacerlo para suplicarte ayuda, pero estoy desesperado.<LF><LF>Tengo una carta muy importante para la mujer del faro, pero tengo problemas en la pierna que me impiden entregarla. Se lo he pedido ya a los carteros de otras aldeas, pero todos dicen que están muy ocupados... Aunque creo que tienen miedo de la anciana, ¡y no los culpo!<LF><LF>Eres la única persona que conozco con el valor de presentarse ante ella. ¿Podrías venir y echarme una mano? Significaría muchísimo para mí, te lo aseguro."
"Caro <NIER>,<LF><LF>Você tem sido fantástico! Se eu soubesse, eu teria feito você substituir o carteiro no calor do momento! Mas tenho certeza de que você tem assuntos mais importantes para tratar.<LF><LF>Você pode vir ao correio em Beira-Mar? Sei que é um pouco longe,<LF>mas tenho algo para você como agradecimento, e gostaria de te entregar pessoalmente.","Dear <NIER>,<LF><LF>You've been fantastic! If I thought you were interested, I'd make you a<LF>deputy postman on the spot! But I'm sure you have more important<LF>matters to attend to.<LF><LF>Can you come to the post office in Seafront? I know it's a bit of a trek,<LF>but I have something for you in the way of a thank-you, and I would<LF>like to deliver it in person.","Querido <NIER>:<LF><LF>¡Has estado fantástico! De haberlo sabido,<LF>te habría nombrado cartero suplente sin pensarlo,<LF>aunque seguro que tienes cosas más importantes que hacer.<LF><LF>¿Podrías venir a la oficina de correos de Ciudad Costera?<LF>Sé que es una buena caminata, pero tengo algo que quiero<LF>darte como agradecimiento y me gustaría hacerlo en persona."
"Caro senhor<LF><LF>Você não me conhece, mas tenha certeza de que eu conheço você. Histórias de suas aventuras se espalharam por todo o país, trazendo esperança até mesmo aos cantos mais inóspitos. Imagine, alguém forte o suficiente para enfrentar as Sombras! Só de pensar nisso, meu coração acelera.<LF><LF>Sei que pode parecer repentino, mas ficaria imensamente grato se você pudesse me fazer uma visita. Sou o proprietário de um humilde casarão localizado nas planícies do sul, mas garanto que minha hospitalidade é incomparável!<LF><LF>Por favor, reflita sobre minha oferta. Aguardo ansiosamente por conhecê-lo.","My good sir,<LF><LF>You do not know me, but rest assured, I know of you. Tales of your exploits have spread far and wide across the land, bringing hope to even the darkest corners. Imagine, someone strong enough to stand against the Shades! It makes my heart race just to think of it.<LF><LF>I know this seems sudden, but I would be most appreciative if you could pay me a visit. I am the owner of a humble manor located in the southern plains, but I promise you, my hospitality is second to none! <LF><LF>Please think upon my offer. I look forward to meeting you.","Estimado señor:<LF><LF>Usted no me conoce, pero yo a usted sí. Sus legendarias proezas se narran a lo largo y ancho de estas tierras y generan esperanza en los rincones más inhóspitos. ¡Un hombre capaz de plantarles cara a las Sombras, nada más y nada menos! Mi corazón late de emoción solo de pensarlo.<LF><LF>Sé que esto puede ser precipitado, pero le agradecería muchísimo que viniera a visitarme. Soy el propietario de una humilde mansión en las llanuras del sur, y le prometo que mi hospitalidad no tiene parangón.<LF><LF>Le ruego que considere mi oferta. Estoy deseando conocerlo."
"*COMUNICADO IMPORTANTE*<LF><LF>Saudações da Loja de Armas Dois Irmãos!<LF>Esperamos que todos os nossos leais clientes estejam bem.<LF><LF>Estamos felizes em anunciar que a poeira baixou e <LF>terminamos as reformas! Nossa nova loja abre hoje,<LF>com ainda mais ótimas maneiras de servir o ocupado caçador de Sombras!<LF><LF>Pedimos desculpas por qualquer inconveniente causado pelo nosso longo fechamento,<LF>e esperamos vê-lo em breve.","*IMPORTANT NOTICE*<LF><LF>Greetings from Two Brothers Weaponry!<LF>We hope that all of our loyal customers are doing well. <LF><LF>We're pleased to announce that the dust has settled, and our<LF>renovations are now complete! Our new store is opening today,<LF>with even more great ways to serve the busy Shade hunter!<LF><LF>We apologize for any inconvenience caused by our lengthy closure,<LF>and we hope to see you soon.","*COMUNICADO IMPORTANTE*<LF><LF>¡Saludos de la armería de los hermanos!<LF>Esperamos que estén muy bien, estimados clientes.<LF><LF>Nos alegra comunicarles que hemos terminado con las reformas.<LF>¡La nueva tienda abre hoy mismo y cuenta con más medios<LF>para servir a los atareados cazadores de Sombras!<LF><LF>Sentimos los inconvenientes causados por todo este tiempo<LF>inoperativo y esperamos que estén muy bien."
"Comunicado Oficial<LF><LF>Conforme a Regra 25.656, considere este o anúncio oficial de que o rei de Facade decidiu consumar seu matrimônio.<LF>Por favor, apresente todas as objeções e/ou congratulações pelos canais oficiais indicados na Regra 38.585.<LF><LF>Sinceramente,<LF><LF>O Escritório Real de Casamento e Outros Contratos e Preocupações Legalmente Vinculáveis de Facade<LF><LF>PS: Ei, pessoal, sou eu! O rei de Facade! Desculpe por toda essa formalidade. Ouça, vou me casar e realmente quero que você compareça!<LF>...Então venha já pra cá!","Official Notice <LF><LF>As per Rule 25,656, please consider this your official notice that the king<LF>of Facade has chosen to enter into the ceremony of matrimony.<LF>Please lodge all objections and/or congratulations through the<LF>official channels stated in Rule 38,585.<LF><LF>Sincerely,<LF><LF>The Facade Royal Office of Marriage and Other Legally Binding<LF>Contracts and Concerns<LF><LF>PS: Hey, guys, it's me! The king of Facade! Sorry this is all formal and stuff. Listen, I'm getting married, and I really want you to come!<LF>...So get over here!","Comunicado oficial<LF><LF>De acuerdo con la regla 25 656, consideren esta notificación como comunicado oficial de que el rey de Fachada ha decidido contraer matrimonio. Rogamos envíen sus quejas y/o felicitaciones mediante los canales oficiales indicados en la regla 38 585.<LF><LF>Atentamente,<LF><LF>La Oficina real de casamientos y contratos vinculantes<LF><LF>P.D.: ¡Muy buenas! Soy yo, el rey de Fachada. Ya lo siento por todas estas formalidades, pero escuchad: ¡me caso y quiero que vengáis!<LF>¡Venga, moved el culo!"
"Caro <NIER><LF><LF>Isso pode parecer repentino, mas vou deixar a cidade em breve. Tenho algumas coisas em mente que preciso resolver e não acho que possa fazer isso aqui. <LF><LF>Se algo acontecer comigo, gostaria que você cuidasse dos meus assuntos pessoais. Ah, não mencionei isso ao meu orientador porque queria lhe contar primeiro. Se ele parecer muito surpreso, esse é o motivo.<LF><LF>Até breve,<LF><LF>—O Rei de Facade ","Dear <NIER><LF><LF>This is going to sound sudden, but I'm leaving the city soon. I have some things I need to get straight in my head, and I don't think I can do so here.<LF><LF>If anything happens to me, I'd like you to take care of my personal affairs. Oh, and I haven't mentioned this to my advisor because I wanted to tell you first. So if he seems really surprised, that's why.<LF><LF>See you soon,<LF><LF>—The king of Facade","Querido <NIER>:<LF><LF>Puede que esto te pille por sorpresa, pero voy a marcharme de la ciudad. Tengo que despejar la mente y dudo que consiga hacerlo aquí.<LF><LF>Si me pasara algo, me gustaría que te hicieras cargo de mis asuntos personales. Ah, y aún no se lo he comentado a mi consejero porque quería que lo supieras antes, así que, si ves que se sorprende, ya sabes a qué se debe.<LF><LF>Hasta pronto<LF><LF>El rey de Fachada"
"Aviso: Armazenamento de Arquivo 8.2.2026<LF><LF>Seguindo o recente incidente com o Número 6, decidimos criar uma sala de arquivos. Ela armazenará registros sobre os métodos usados para controlar e/ou cancelar todas as formas de magia—incluindo petrificação e transformação bestial—e também permitir o andamento de novos projetos. (Especificamente, isso facilitará a conclusão de uma solução de armazenamento de longo prazo para o Número 6, bem como prosseguir nosso trabalho no Número 7.)<LF><LF>Todos os funcionários são obrigados a manter a entrada do pátio desta nova sala segura. O não cumprimento é considerado motivo para demissão imediata.","Notice: Archival Storage   8.2.2026<LF><LF>Following the recent incident with Number 6, we have decided to establish an archival room. This room will hold records on the methods used to control and/or cancel all forms of magic—including petrification and bestial transformation—as well as allow other projects to move forward. (Specifically, this should make it easier to complete a long-term storage solution for Number 6, as well as proceed with our work on Number 7.)<LF><LF>All employees are required to keep the courtyard entrance to this new room secure. Failure to do so is considered grounds for immediate termination.","Aviso: almacenamiento de archivos   8.2.2026<LF><LF>Tras el último incidente con Número 6, hemos decidido crear un espacio de archivos. Este espacio servirá para llevar un registro de los métodos empleados para controlar y/o cancelar toda forma de magia —incluida la petrificación y la transformación bestial— así como otros proyectos que iremos avanzando. (Esto debería de servir como solución de almacenamiento a largo plazo para Número 6 y que podamos proceder con Número 7).<LF><LF>Se requiere que todos los empleados impidan la entrada a este espacio a través de la puerta del patio. El incumplimiento se considerará justificación suficiente para exterminio inmediato."
"Aviso: Relatório de Progresso sobre o Número 6 12.25.2025<LF><LF>Finalizamos a pesquisa inicial sobre o Número 6 e estamos prontos para iniciar o experimento inicial nos próximos dias.<LF><LF>Como isso provavelmente marcará um grande avanço na pesquisa Gestalt, o Laboratório Nacional de Pesquisa de Armas tornou a conclusão do projeto Número 6 sua principal prioridade. Os orçamentos para todos os outros projetos devem ser congelados imediatamente.","Notice: Progress Report on Number 6   12.25.2025<LF><LF>We have completed the initial research into Number 6, and are ready to initiate the startup experiment in the coming days.<LF><LF>As this will likely mark a great leap forward in Gestalt research, the National Weapons Research Laboratory has made the completion of the Number 6 project its top priority. Budgets for all other projects are to be frozen, effective immediately.","Aviso: informe de progreso sobre Número 6   12.25.2025<LF><LF>Completada investigación inicial de Número 6. Estamos listos para empezar con el experimento.<LF><LF>Dado que supondrá un importante avance en la investigación Gestalt, el Laboratorio de investigación armamentística ha decidido dar prioridad al proyecto Número 6. Se procede a congelar el presupuesto de los demás proyectos de inmediato."
"Aviso: Pauta da Reunião 9.12.2026<LF><LF>A reunião de hoje abordará os seguintes tópicos:<LF>- Uma solução para o armazenamento de longo prazo do Número 6.<LF>- Um relatório de progresso sobre o Número 7.<LF>- Disfarçar as instalações do laboratório acima do solo como uma mansão.","Notice: Meeting Agenda   9.12.2026<LF><LF>Today's meeting will address the following topics:<LF>- A solution for long-term storage of Number 6.<LF>- A progress report on Number 7.<LF>- Disguising the laboratory's above-ground facility as a mansion.","Aviso: reunión del día   9.12.2026<LF><LF>En la reunión de hoy abordaremos los siguientes temas:<LF>- Solución para el almacenamiento a largo plazo de Número 6.<LF>- Informe de progreso sobre Número 7.<LF>- Ocultación de las instalaciones del laboratorio como<LF>mansión."
"Aviso: Relatório de Progresso sobre o Número 6 10.11.2025<LF><LF>O corpo do doador Halua foi escolhido entre os sete candidatos para prosseguir para a próxima etapa. No interesse de proteger segredos de estado, todos os outros sujeitos restantes serão eliminados. O corpo do doador Emil, no entanto, será mantido em armazenamento como medida de segurança.","Notice: Progress Report on Number 6   10.11.2025<LF><LF>The donor body Halua has been chosen from among the seven candidate subjects to proceed to the next stage. In the interest of protecting state secrets, all but one of the remaining subjects will be disposed of. The donor body Emil, however, will be kept in storage as a failsafe measure.","Aviso: informe de progreso sobre Número 6   10.11.2025<LF><LF>Se ha escogido el cuerpo donado de Halua de entre siete candidatos para proceder a la siguiente fase. Con el objetivo de proteger los secretos de estado, solo se guardará un sujeto de los seis restantes: el cuerpo donado de Emil, que se conservará como medida de seguridad."
"De: O Gabinete do Prefeito de Beira-Mar<LF>Para: O Chefe de Aerie<LF><LF>Espero que minha carta encontre você em bom espírito. Dito isso, não recebo<LF>correspondência de sua vila há algum tempo. Está tudo bem?<LF>Nossos comerciantes perderam contato com seus clientes de seu<LF>povo honrado, e isso nos preocupa muito.<LF><LF>Como você sabe, a atividade dos Sombras tem aumentado ultimamente, o que nos faz<LF>temer pela segurança de Aerie - especialmente sabendo que essas criaturas malignas<LF>parecem se sentir especialmente atraídas por sua área. Por favor, deixe-nos saber se há<LF>algo que o povo de Beira-Mar possa fazer para ajudar na luta contra<LF>esse inimigo comum.","From: The Office of the Mayor of Seafront<LF>To: The Chief of The Aerie<LF><LF>I hope my letter finds you in good spirits. That said, I have not received<LF>correspondence from your village in some time. Is everything well?<LF>Our merchants have lost contact with their customers from your<LF>fair town, and this disquiets all of us greatly.<LF><LF>As you know, Shade activity has been on the rise as of late, and this makes<LF>us fear for the safety of The Aerie—especially since the foul creatures<LF>seem unusually attracted to your area. Please let us know if there is<LF>anything that the people of Seafront can do to help in the fight against<LF>this common enemy.","De: la oficina del alcalde de Ciudad Costera<LF>Para: el jefe de Nido del Águila<LF><LF>Espero que se encuentre bien. Le escribo porque hace tiempo que no recibimos correspondencia de su ciudad y me preguntaba si va todo bien. Nuestros mercaderes han perdido el contacto con los clientes de su honorable pueblo y esto nos genera una gran intranquilidad.<LF><LF>Como la actividad de las Sombras ha aumentado recientemente, tememos por la seguridad de Nido del Águila, sobre todo a sabiendas de que estas malignas criaturas no suelen sentirse atraídas por su zona. Le ruego nos haga saber si Ciudad Costera puede hacer algo para ayudar en la lucha contra este enemigo compartido."
"Para: Loja de Armas Dois Irmãos<LF><LF>Nós gostaríamos de estender nossos sinceros agradecimentos em relação à nossa recente transação comercial. Esperamos que vocês nos perdoem por nossa reação inicial quando soubemos da juventude de vocês. Essas preocupações se mostraram totalmente infundadas, visto que os metais que recebemos eram de excelente qualidade. Não poderíamos estar mais satisfeitos com o pedido!<LF><LF>Esperamos continuar fazendo negócios no futuro.<LF><LF>A Empresa de Beira-Mar, Divisão de Comércio","To: Two Brothers Weaponry<LF><LF>Allow us to extend our heartfelt thanks regarding our recent business transaction. We hope you will forgive our initial reaction when we learned of your youth. Such worries have proven to be totally unfounded, as the metals we received were all of the utmost quality. We could not be more satisfied with the order!<LF><LF>We hope to continue doing business in the future.<LF><LF>The Seafront Company, Trade Division","Para: armería de los hermanos<LF><LF>Permítannos transmitirles nuestro más sincero agradecimiento<LF>por la última transacción comercial que hemos cerrado.<LF>Esperamos que puedan perdonar nuestra reacción inicial<LF>al descubrir su edad, pues estas preocupaciones<LF>han demostrado ser totalmente infundadas, dado que<LF>los metales recibidos son de la más alta calidad.<LF>¡Estamos más que satisfechos con el pedido!<LF><LF>Esperamos seguir haciendo negocios en el futuro.<LF><LF>La compañía de Ciudad Costera, división comercial"
"De: Escritório do Prefeito de Beira-Mar<LF>Para: Popola<LF><LF>Escrevo-lhe sobre a questão urgente de Aerie. Como você sabe, a atividade de Sombras nessa área aumentou muito ultimamente, e agora tememos o pior. Inúmeras cartas ao chefe da vila ainda não foram respondidas, e nossos comerciantes recentemente perderam todo contato com os clientes lá.<LF><LF>Embora Beira-Mar ainda não tenha sido incomodada pelos Sombras, tememos que sua chegada seja apenas uma questão de tempo. Encorajo sua vila a tomar todas as medidas necessárias para se defender dessa terrível praga; a perda de dois postos avançados seria quase demais para suportar.<LF><LF>Espero ouvir de você em breve. ","From: The Office of the Mayor of Seafront<LF>To: Popola<LF><LF>I write to you regarding the urgent matter of The Aerie. As you know, Shade activity in that area has been much increased of late, and we now fear the worst. Numerous letters to the village chief have yet to be returned, and our merchants have recently lost all contact with customers there.<LF><LF>While Seafront has yet to be troubled by the Shades, we fear their arrival is only a matter of time. I encourage your village to take all necessary steps to defend yourself from this terrible scourge; the loss of two outposts would be almost too much to bear.<LF><LF>I hope to hear from you soon.","De: la oficina del alcalde de Ciudad Costera<LF>Para: Popola<LF><LF>Le escribo por la urgente situación de Nido del Águila. Como sabe, la actividad de las Sombras ha aumentado recientemente y nos tememos lo peor. Hemos enviado numerosas cartas al jefe de la aldea y todas han sido devueltas, y nuestros mercaderes han perdido el contacto con los clientes de allí.<LF><LF>Ciudad Costera todavía no ha sido atacada por las Sombras, pero tememos que su llegada sea inminente. Les animamos a que tomen todas las medidas necesarias para defenderse, pues la pérdida de dos puestos avanzados sería demasiado.<LF><LF>Espero noticias suyas."
"Minha querida,<LF><LF>Meus esforços em cultivar frésias finalmente deram frutos! Eu sei que demorou um pouco, mas eu não queria entrar em contato com você até ter certeza de que poderia me manter firme.<LF><LF>Agora que o dinheiro está começando a entrar, espero que você deixe a vila e venha morar comigo como minha esposa. Eu sei que é repentino, mas não sou muito bom nesse tipo de coisa, então achei que deveria apenas perguntar e ver o que acontece.<LF><LF>Espero por você.","My dearest,<LF><LF>My efforts at cultivating freesia have finally borne fruit! I know it's taken a while, but I didn't want to contact you until I was sure I could keep my head above water. <LF><LF>Now that the money is starting to roll in, I was hoping you would leave the village and come live with me as my wife. I know it's sudden, but I'm not very good at this type of thing, so I figured I'd just ask and let the chips fall where they may. <LF><LF>I'll be waiting for you.","Querida mía:<LF><LF>¡Mis esfuerzos por cultivar fresia han dado por fin sus frutos! Sé que ha pasado mucho tiempo, pero no quería ponerme en contacto contigo hasta dejar de tener el agua al cuello.<LF><LF>Ahora que empieza a entrar dinero, confiaba en que abandonases la aldea y vinieras a vivir conmigo como mi esposa. Sé que es muy repentino, pero estas cosas no se me dan muy bien, así que pensé en proponértelo y ver<LF>qué pasaba.<LF><LF>Te estaré esperando."
"Oi, <NIER>!<LF><LF>Ei, sou eu! Emil! Desculpe por ter ficado quieto por tanto tempo. Você e Weiss estão se dando bem? Ele ainda usa palavras difíceis e faz todo mundo se sentir burro? Aposto que sim!<LF><LF>De qualquer forma, recentemente encontrei alguns registros que podem nos ajudar a curar a petrificação de Kainé. Você se importaria de vir aqui dar uma olhada?<LF><LF>Obrigado! Ficarei na espera!","Hi, <NIER>!<LF><LF>Hey, it's me! Emil! Sorry I've been quiet for so long. Are you and Weiss<LF>getting along all right? Is he still using big words and making everyone<LF>feel dumb? I bet he is!<LF><LF>Anyway, I recently stumbled upon some records that might help us in<LF>curing Kainé's petrification. Would you mind coming here to take a look? <LF><LF>Thanks! I'll be waiting!","¡Hola, <NIER>!<LF><LF>¡Soy yo, Emil! Perdona que no te haya escrito en tanto<LF>tiempo. ¿Cómo estáis Weiss y tú? ¿Sigue usando<LF>esas palabrejas y haciendo que todo el mundo<LF>se sienta tonto? ¡Seguro que sí!<LF><LF>En fin, el caso es que el otro día encontré unos registros<LF>que podrían ayudarnos a curar la petrificación de Kainé.<LF>¿Te importaría pasarte por aquí para echar un vistazo? <LF><LF>¡Gracias! ¡Aquí te espero!"
"Querido <NIER>,<LF><LF>Isso é para informá-lo que o trabalho de atualização em sua arma foi concluído. A arma está pronta e disponível para ser retirada o mais breve possível.<LF><LF> Também tenho um pedido mais pessoal a fazer a você, um que espero poder discutir mais quando você vier buscar a arma.<LF><LF>Atenciosamente,<LF> Loja de Armas Dois Irmãos","Dear <NIER>,<LF><LF>This is to inform you that the upgrade work on your weapon has been<LF>completed. The weapon is ready and available for pickup at your<LF>earliest convenience.<LF><LF>I also have a more personal request to make of you, one I hope we can discuss further once you arrive to pick up the weapon.<LF><LF>Yours,<LF>Two Brothers Weaponry","Estimado <NIER>:<LF><LF>Te informamos de que hemos completado el trabajo de mejora<LF>de tu arma. Está lista y disponible para que la recojas<LF>tan pronto como te sea posible. <LF><LF>Tengo también una petición más personal que formularte,<LF>la cual espero que podamos discutir<LF>cuando acudas a recoger el arma.<LF><LF>Un cordial saludo,<LF>Armería de los hermanos"
